"Model","Benchmark","Type","Data_frequency","Eval_frequency","Estimation_start","Evaluation_period","Estimation_scheme","Horizon","MSFE_ratio","DM_MSFE","MAFE_ratio","DM_MAFE","MZ","Unbias","Strong_Eff","Weak_Eff"
"Okun Model","RW","level","Q","Q","1991-07-01","2016-01-01 - 2025-07-01","recursive",1,2.08,"1.73 (0.95)",1.82,"2.91 (1)","8.02 (0)","3.55 (0)","0.72 (0.47)","14.31 (0.03)"
"Okun Model","RW","level","Q","Q","1991-07-01","2016-01-01 - 2025-07-01","recursive",2,0.84,"-0.24 (0.4)",0.95,"-0.14 (0.44)","2.29 (0.12)","2.27 (0.03)","-0.28 (0.78)","7.73 (0.26)"
"Okun Model","RW","level","Q","Q","1991-07-01","2016-01-01 - 2025-07-01","recursive",3,0.65,"-0.66 (0.26)",0.75,"-0.74 (0.23)","1.99 (0.15)","1.35 (0.18)","-1.94 (0.06)","4.73 (0.58)"
"Okun Model","RW","level","Q","Q","1991-07-01","2016-01-01 - 2025-07-01","recursive",4,0.43,"-1.36 (0.09)",0.62,"-1.41 (0.08)","2.63 (0.09)","0.77 (0.45)","-2.24 (0.03)","3.65 (0.72)"
"Okun Model","RW","level","Q","Q","1991-07-01","2016-01-01 - 2025-07-01","recursive",5,0.31,"-1.79 (0.04)",0.54,"-1.79 (0.04)","1.63 (0.21)","0.1 (0.92)","-1.78 (0.08)","0.67 (0.98)"
"Okun Model","RW","level","Q","Q","1991-07-01","2016-01-01 - 2025-07-01","recursive",6,0.3,"-1.92 (0.03)",0.5,"-2.14 (0.02)","2.82 (0.07)","-0.61 (0.55)","-2.13 (0.04)","0.23 (1)"
"Okun Model","RW","level","Q","Q","1991-07-01","2016-01-01 - 2025-07-01","recursive",7,0.49,"-1.35 (0.09)",0.62,"-1.81 (0.04)","18.11 (0)","-0.84 (0.41)","-5.07 (0)","0.04 (1)"
"Okun Model","RW","level","Q","Q","1991-07-01","2016-01-01 - 2025-07-01","recursive",8,0.54,"-1.39 (0.09)",0.69,"-2.02 (0.03)","37.93 (0)","-0.74 (0.46)","-7.9 (0)","0.03 (1)"
