"Model","Benchmark","Type","Data_frequency","Eval_frequency","Estimation_start","Evaluation_period","Estimation_scheme","Horizon","MSFE_ratio","DM_MSFE","MAFE_ratio","DM_MAFE","MZ","Unbias","Strong_Eff","Weak_Eff"
"Philips Model","RW","level","Q","Q","1990-01-01","2018-04-01 - 2025-07-01","recursive",1,0.91,"-0.44 (0.33)",1.02,"0.15 (0.56)","1.57 (0.23)","-0.21 (0.84)","-1.76 (0.09)","18.65 (0)"
"Philips Model","RW","level","Q","Q","1990-01-01","2018-04-01 - 2025-07-01","recursive",2,1.02,"0.08 (0.53)",1.07,"0.45 (0.67)","11.1 (0)","-0.22 (0.82)","-3.82 (0)","16.89 (0)"
"Philips Model","RW","level","Q","Q","1990-01-01","2018-04-01 - 2025-07-01","recursive",3,0.98,"-0.06 (0.48)",1.02,"0.13 (0.55)","46.42 (0)","-0.27 (0.79)","-6.47 (0)","13.94 (0.02)"
"Philips Model","RW","level","Q","Q","1990-01-01","2018-04-01 - 2025-07-01","recursive",4,0.89,"-0.41 (0.34)",0.97,"-0.2 (0.42)","243.63 (0)","-0.19 (0.85)","-10.84 (0)","8.59 (0.13)"
"Philips Model","RW","level","Q","Q","1990-01-01","2018-04-01 - 2025-07-01","recursive",5,0.81,"-0.77 (0.22)",0.92,"-0.72 (0.24)","1345.5 (0)","-0.1 (0.92)","-19.86 (0)","5.28 (0.38)"
"Philips Model","RW","level","Q","Q","1990-01-01","2018-04-01 - 2025-07-01","recursive",6,0.7,"-1.73 (0.05)",0.85,"-2.05 (0.03)","212.41 (0)","0.11 (0.91)","-20.58 (0)","3.26 (0.66)"
"Philips Model","RW","level","Q","Q","1990-01-01","2018-04-01 - 2025-07-01","recursive",7,0.59,"-2.92 (0)",0.77,"-9.88 (0)","31.17 (0)","0.41 (0.68)","-6.86 (0)","4.72 (0.32)"
"Philips Model","RW","level","Q","Q","1990-01-01","2018-04-01 - 2025-07-01","recursive",8,0.51,"-3.77 (0)",0.69,"-4.98 (0)","10.88 (0)","0.57 (0.57)","-3.8 (0)","0.68 (0.95)"
