"Model","Benchmark","Type","Data_frequency","Eval_frequency","Estimation_start","Evaluation_period","Estimation_scheme","Horizon","MSFE_ratio","DM_MSFE","MAFE_ratio","DM_MAFE","MZ","Unbias","Strong_Eff","Weak_Eff"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",1,12.68,"3.82 (1)",4.04,"4.02 (1)","1.53 (0.23)","-1.78 (0.09)","-0.97 (0.34)","39.15 (0)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",2,3.84,"1.89 (0.97)",2.32,"1.76 (0.96)","51.44 (0)","-1.49 (0.15)","-3.2 (0)","31.36 (0)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",3,1.9,"0.89 (0.81)",1.67,"0.98 (0.83)","199.42 (0)","-1.2 (0.24)","-6.5 (0)","15.94 (0.01)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",4,1.14,"0.19 (0.57)",1.27,"0.46 (0.68)","125.75 (0)","-0.88 (0.38)","-9.82 (0)","8.39 (0.14)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",5,0.79,"-0.39 (0.35)",1.06,"0.13 (0.55)","69.69 (0)","-0.57 (0.58)","-11.53 (0)","4 (0.55)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",6,0.62,"-0.84 (0.2)",0.94,"-0.18 (0.43)","22.66 (0)","-0.24 (0.81)","-6.56 (0)","1.82 (0.87)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",7,0.56,"-0.97 (0.17)",0.87,"-0.4 (0.35)","14.77 (0)","0.07 (0.95)","-5.02 (0)","1.07 (0.96)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",8,0.62,"-0.76 (0.23)",0.9,"-0.28 (0.39)","18.67 (0)","0.27 (0.79)","-5.5 (0)","1.32 (0.86)"
