"Model","Benchmark","Type","Data_frequency","Eval_frequency","Estimation_start","Evaluation_period","Estimation_scheme","Horizon","MSFE_ratio","DM_MSFE","MAFE_ratio","DM_MAFE","MZ","Unbias","Strong_Eff","Weak_Eff"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",1,6.7,"4.09 (1)",3.33,"5.07 (1)","0.61 (0.55)","-0.75 (0.46)","0.08 (0.93)","47.61 (0)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",2,3.64,"1.98 (0.97)",2.42,"2.33 (0.99)","57.17 (0)","-0.85 (0.4)","-9.91 (0)","42.17 (0)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",3,2.15,"1.13 (0.87)",1.84,"1.43 (0.92)","145.47 (0)","-0.79 (0.43)","-13.9 (0)","22.3 (0)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",4,1.38,"0.52 (0.7)",1.43,"0.84 (0.8)","90.35 (0)","-0.71 (0.49)","-10.68 (0)","12.94 (0.02)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",5,0.98,"-0.04 (0.49)",1.19,"0.47 (0.68)","64.8 (0)","-0.56 (0.58)","-8.85 (0)","2.77 (0.74)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",6,0.78,"-0.51 (0.31)",1.04,"0.12 (0.55)","36.6 (0)","-0.38 (0.71)","-7 (0)","3.3 (0.65)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",7,0.71,"-0.64 (0.26)",0.95,"-0.15 (0.44)","29.72 (0)","-0.2 (0.84)","-6.55 (0)","1.93 (0.86)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-01-01 - 2025-07-01","recursive",8,0.76,"-0.46 (0.33)",0.97,"-0.07 (0.47)","37.74 (0)","-0.22 (0.82)","-7.21 (0)","2.07 (0.72)"
