"Model","Benchmark","Type","Data_frequency","Eval_frequency","Estimation_start","Evaluation_period","Estimation_scheme","Horizon","MSFE_ratio","DM_MSFE","MAFE_ratio","DM_MAFE","MZ","Unbias","Strong_Eff","Weak_Eff"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-04-01 - 2025-07-01","recursive",1,10.82,"3.67 (1)",3.69,"3.78 (1)","3.8 (0.03)","-1.62 (0.12)","-0.44 (0.66)","33.75 (0)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-04-01 - 2025-07-01","recursive",2,3.36,"1.47 (0.92)",2.08,"1.42 (0.92)","0.98 (0.39)","-1.25 (0.22)","-0.84 (0.41)","24.99 (0)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-04-01 - 2025-07-01","recursive",3,1.71,"0.59 (0.72)",1.45,"0.6 (0.72)","0.71 (0.5)","-0.97 (0.34)","-1.09 (0.28)","8.38 (0.14)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-04-01 - 2025-07-01","recursive",4,1.05,"0.06 (0.52)",1.12,"0.18 (0.57)","1.03 (0.37)","-0.68 (0.5)","-1.16 (0.26)","2.36 (0.8)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-04-01 - 2025-07-01","recursive",5,0.72,"-0.43 (0.33)",0.94,"-0.12 (0.45)","1.47 (0.25)","-0.39 (0.7)","-1.39 (0.18)","0.85 (0.97)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-04-01 - 2025-07-01","recursive",6,0.55,"-0.85 (0.2)",0.84,"-0.39 (0.35)","4.28 (0.03)","-0.12 (0.91)","-2.04 (0.05)","3.14 (0.68)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-04-01 - 2025-07-01","recursive",7,0.51,"-0.93 (0.18)",0.8,"-0.46 (0.33)","7.92 (0)","0.06 (0.95)","-3.93 (0)","6.49 (0.17)"
"Taylor Model","RW","level","Q","Q","1991-01-01","2018-04-01 - 2025-07-01","recursive",8,0.61,"-0.66 (0.26)",0.88,"-0.26 (0.4)","19.78 (0)","0.08 (0.94)","-5.49 (0)","2.44 (0.65)"
