"Model","Benchmark","Type","Data_frequency","Eval_frequency","Estimation_start","Evaluation_period","Estimation_scheme","Horizon","MSFE_ratio","DM_MSFE","MAFE_ratio","DM_MAFE","MZ","Unbias","Strong_Eff","Weak_Eff"
"Okun Model","RW","level","Q","Q","1991-07-01","2022-07-01 - 2025-07-01","recursive",1,1.48,"1.03 (0.84)",1.05,"0.25 (0.6)","23.86 (0)","1.15 (0.27)","4.98 (0)","9.66 (0.02)"
"Okun Model","RW","level","Q","Q","1991-07-01","2022-07-01 - 2025-07-01","recursive",2,0.84,"-0.81 (0.22)",0.82,"-1.14 (0.14)","16.49 (0)","1.43 (0.18)","3.52 (0.01)","6.17 (0.1)"
"Okun Model","RW","level","Q","Q","1991-07-01","2022-07-01 - 2025-07-01","recursive",3,0.74,"-1.26 (0.12)",0.8,"-1.24 (0.12)","14.29 (0)","1.48 (0.17)","1.66 (0.13)","1.23 (0.75)"
"Okun Model","RW","level","Q","Q","1991-07-01","2022-07-01 - 2025-07-01","recursive",4,0.72,"-1.82 (0.05)",0.8,"-1.81 (0.05)","136.96 (0)","1.7 (0.12)","1.48 (0.18)","0.31 (0.96)"
"Okun Model","RW","level","Q","Q","1991-07-01","2022-07-01 - 2025-07-01","recursive",5,0.67,"-2.74 (0.01)",0.78,"-1.87 (0.05)","53.36 (0)","2.32 (0.05)","-0.32 (0.76)","0.19 (0.98)"
"Okun Model","RW","level","Q","Q","1991-07-01","2022-07-01 - 2025-07-01","recursive",6,0.57,"-3.78 (0)",0.73,"-2.52 (0.02)","3284.55 (0)","2.45 (0.04)","-2.57 (0.04)","1.91 (0.38)"
"Okun Model","RW","level","Q","Q","1991-07-01","2022-07-01 - 2025-07-01","recursive",7,0.5,"-4.09 (0)",0.64,"-4.45 (0)","473.16 (0)","3.12 (0.02)","-8.39 (0)","0.07 (0.96)"
"Okun Model","RW","level","Q","Q","1991-07-01","2022-07-01 - 2025-07-01","recursive",8,0.42,"-2.87 (0.02)",0.57,"-10.22 (0)","80.15 (0)","3.96 (0.01)","-8.65 (0)","0.04 (0.98)"
