quarter,beta1,beta2,beta3,sigma_unemp_rate,sigma_spf_5y_unemp
2021 Q4,-0.0664421245362815,-0.04590255890668623,-0.05112396281735612,0.004490661687999652,0.002331045742623416
2022 Q1,-0.06393361144618216,-0.04618336153302273,-0.05159159528411796,0.0044577751037911855,0.002605118953104212
2022 Q2,-0.052817825636247116,-0.05050010375084264,-0.05187304792309387,0.004425384374239725,0.0027564141629348926
2022 Q3,-0.050683859554293206,-0.0555756989221773,-0.05170768242546625,0.004391778351682272,0.002891583278767373
2022 Q4,-0.050826626681019865,-0.053941620374856634,-0.055911464401039404,0.004352857239771232,0.0029261707412863687
2023 Q1,-0.05031394623528467,-0.05381460498011956,-0.05578094776108181,0.004315457659992722,0.003185322439460308
2023 Q2,-0.045582454506491316,-0.06274545455038695,-0.055837706041900574,0.004326876357202928,0.0032863343954364736
2023 Q3,-0.04151424565416548,-0.05786323433491738,-0.0701881384651236,0.004386126629826457,0.0033248713190760612
2023 Q4,-0.039796022082885865,-0.05495926323587411,-0.07521097640020581,0.004525177575440525,0.003310034187472143
2024 Q1,-0.03744540792452772,-0.05524366026650215,-0.07549257683571343,0.004531277679440783,0.0033490445120654033
2024 Q2,-0.0351910026593449,-0.05355288047895348,-0.0766143696375285,0.004599931619455069,0.003301096474367405
2024 Q3,-0.03248145604064228,-0.052692044372846504,-0.07555204428305215,0.00466360537169106,0.0032386084639883647
2024 Q4,-0.03191493284828727,-0.051061682392446024,-0.07468705583773821,0.004661932280979163,0.0031544260823804684
2025 Q1,-0.031799127637278664,-0.05089800313250716,-0.07483878851864183,0.0045951442051020185,0.003098759329642112
2025 Q2,-0.031794031082910096,-0.05103819772800018,-0.07415590826570287,0.004530641357513992,0.0030379975258950213
2025 Q3,-0.031390481741960664,-0.051183482373835,-0.07406286640930836,0.0044663443198257385,0.0029814469333888666
2025 Q4,-0.031731279182749275,-0.051157924751852366,-0.07422059607459419,0.004403178112379748,0.0029346164699434745
