"Model","Benchmark","Type","Data_frequency","Eval_frequency","Estimation_start","Evaluation_period","Estimation_scheme","Horizon","MSFE_ratio","DM_MSFE","MAFE_ratio","DM_MAFE","MZ","Unbias","Strong_Eff","Weak_Eff"
"Philips Model","RW","level","Q","Q","1990-01-01","2022-07-01 - 2025-07-01","recursive",1,13.17,"3.41 (1)",3.56,"3.72 (1)","5.48 (0.02)","6.43 (0)","-0.38 (0.71)","17.89 (0)"
"Philips Model","RW","level","Q","Q","1990-01-01","2022-07-01 - 2025-07-01","recursive",2,3.18,"1.1 (0.85)",1.75,"1.14 (0.86)","7.3 (0.01)","1.88 (0.09)","2.64 (0.02)","2.79 (0.43)"
"Philips Model","RW","level","Q","Q","1990-01-01","2022-07-01 - 2025-07-01","recursive",3,1.26,"0.5 (0.69)",1.03,"0.07 (0.53)","212.56 (0)","3 (0.01)","-2.21 (0.05)","3.37 (0.34)"
"Philips Model","RW","level","Q","Q","1990-01-01","2022-07-01 - 2025-07-01","recursive",4,0.61,"-2.18 (0.03)",0.67,"-1.22 (0.13)","165.21 (0)","3.74 (0)","-5.06 (0)","1.52 (0.68)"
"Philips Model","RW","level","Q","Q","1990-01-01","2022-07-01 - 2025-07-01","recursive",5,0.45,"-4.05 (0)",0.52,"-2.47 (0.02)","36.61 (0)","2.3 (0.05)","-5.6 (0)","0.43 (0.93)"
"Philips Model","RW","level","Q","Q","1990-01-01","2022-07-01 - 2025-07-01","recursive",6,0.25,"-2.32 (0.03)",0.4,"-4.59 (0)","26.34 (0)","2.23 (0.06)","-6.07 (0)","0.19 (0.91)"
"Philips Model","RW","level","Q","Q","1990-01-01","2022-07-01 - 2025-07-01","recursive",7,0.15,"-5.04 (0)",0.31,"-8.52 (0)","12.82 (0.01)","1.6 (0.16)","-3.37 (0.02)","0.13 (0.94)"
"Philips Model","RW","level","Q","Q","1990-01-01","2022-07-01 - 2025-07-01","recursive",8,0.06,"-6.36 (0)",0.22,"-8.01 (0)","33.65 (0)","0.65 (0.54)","-7.78 (0)","0.06 (0.97)"
