2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4
0.023020374970498376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0216730784044414,0.021929050407584357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.021976939660319765,0.022229611648140232,0.02060750274443544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.022603692807996636,0.022867361163971034,0.021338047775554477,0.02076349490453166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.023280697927474593,0.023530757405564404,0.021995719780506413,0.021347816561702634,0.021604442595388847,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0241987283466056,0.024438726048761766,0.022905332249465452,0.022237734275091105,0.022550722315572574,0.02228442013468076,NA,NA,NA,NA,NA,NA,NA,NA
0.02467848559922418,0.024913845124002753,0.023389080817561206,0.02268607006382609,0.022952936038389483,0.022947091736761443,0.023122038350062664,NA,NA,NA,NA,NA,NA,NA
0.0252295253959222,0.025434658079056482,0.023892457155172638,0.023179666203232023,0.0234004958667659,0.02335474578477531,0.023458054951827734,0.024235335491451456,NA,NA,NA,NA,NA,NA
0.025707352992055933,0.025893719573022347,0.024349736923878203,0.02360570296025129,0.023787631305859317,0.023695614007182876,0.023790785868247174,0.024730972509821085,0.025746337114352837,NA,NA,NA,NA,NA
NA,0.025853542784680616,0.024294320729943447,0.023525341460452993,0.023645906896134782,0.023502593868980223,0.023601931431128334,0.024540313284544604,0.025043681114302677,0.027087039067999197,NA,NA,NA,NA
NA,NA,0.02436656942943189,0.023577126791638106,0.023644800893793227,0.023451230422525424,0.023554341772024333,0.024495734033268695,0.02500080359959529,0.027233189776215794,0.028044899271618285,NA,NA,NA
NA,NA,NA,0.02351302501608702,0.023516915525579978,0.023260521015180505,0.023358759754677168,0.024302143269451865,0.024805489155941985,0.027035885875285413,0.027793588536755297,0.029322625184986743,NA,NA
NA,NA,NA,NA,0.023896489852242523,0.023561164389097645,0.02364934511681568,0.02458353288724709,0.02508200151021814,0.027309077087942737,0.02806156767903504,0.02784550720395965,0.03044712541423552,NA
NA,NA,NA,NA,NA,0.02462545136624014,0.024707982767355283,0.025630739206999598,0.026124597391700727,0.028347254508022408,0.02909891048871507,0.028882868310765374,0.029485411263420486,0.03108975341814004
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
