2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4
0.033234855029197874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.005445736871599674,0.028900496043772428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0037586293913555407,0.006082829899622288,0.03149168922194523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0029395673353209894,0.00547217946570557,-0.0021125791448199024,0.021206203062686058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00281651081791289,0.004127856936048308,0.0056544373132011725,-0.0047931319290843355,0.015918883056626143,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0026729578095224227,0.002634529446039008,-2.1642068512808745e-4,0.0025759756234896517,-0.00430854089870613,0.01604305620423574,NA,NA,NA,NA,NA,NA,NA,NA
0.002154394717012297,0.001048489931287103,-0.0010010332249291015,-0.003597004273119904,0.0022522937675835647,0.001165963777580787,0.011569375752539912,NA,NA,NA,NA,NA,NA,NA
0.00231674287561217,6.999539766378102e-5,-0.0022767414850741836,-0.0025830029174252036,0.0018869216880294513,0.00402722347710463,-8.758134670200065e-5,0.013528197578204448,NA,NA,NA,NA,NA,NA
0.002138603447949879,-7.495336128464083e-4,-0.0020736125145613222,-0.002947349889698754,0.0031900926950725428,0.004299974285680535,0.001905211904345397,-0.0014883761658145284,0.010589353714857808,NA,NA,NA,NA,NA
NA,-0.0010555288159509895,-9.101031075240754e-4,-9.99838536171028e-4,0.0035490007159617483,0.004367097453201325,9.737902456718526e-4,0.0015011710260909917,-0.0012645719733528095,0.006578420876546254,NA,NA,NA,NA
NA,NA,0.0012333578284639117,0.0014216499902995772,0.0037149887443303047,0.0040124002549811084,9.103969899659247e-4,7.531103582517282e-4,0.001633076777380632,0.001686635160967506,0.0035550522526337502,NA,NA,NA
NA,NA,NA,0.004683879161412557,0.0038077919719807793,0.003588554436483965,9.021494127478954e-4,0.001123299291168548,0.0020517982972498897,0.0028518000527501574,0.0021169132277156504,4.1796042587805005e-5,NA,NA
NA,NA,NA,NA,0.003938517884839005,0.0031950145437271444,0.001078149355014068,0.0015849565073911191,0.0028857520003739293,0.0032075823482246024,0.0027487000468100287,0.0026694947759494615,0.0019799516346186152,NA
NA,NA,NA,NA,NA,0.0026638420099810226,0.0012037681431016052,0.0018593347001517571,0.003422921566583123,0.0034782818287862854,0.003007685972813018,0.0014400018375523842,0.001974152276835048,6.008546210134469e-4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
