quarter,saron_libor_splice,true_snb_rate,forward_rate,log_cpi,log_inflation_diff,yoy_inf,lag_rate,log_gdp,gdp_gap,12m_interest_forecast,inf_gap
1990 Q2,9.0625,9.0625,6.268748916028562,435.6651725275482,4.435970777931431,NA,9.333333333333334,11.651640329126591,0.9892230876984355,NA,NA
1990 Q3,8.609376666666666,8.609376666666666,6.3136943310148,437.08959401235114,5.697685939211894,NA,9.0625,11.651080308925925,0.9747954057641802,NA,NA
1990 Q4,8.666666666666666,8.666666666666666,6.479058147603878,438.75942440610646,6.679321575021291,NA,8.609376666666666,11.645283068106846,0.4353652784599798,NA,NA
1991 Q1,8.333333333333334,8.333333333333334,6.241344529617199,440.28037648838466,6.083808329112728,5.724196655319336,8.666666666666666,11.647491950525696,0.6937085203123725,NA,4.724196655319336
1991 Q2,8.208333333333334,8.208333333333334,5.8820562521625455,441.64955785467885,5.476725465176813,5.984385327130681,8.333333333333334,11.637048607408127,-0.31784042052038264,NA,4.984385327130681
1991 Q3,8.083333333333334,8.083333333333334,5.976812968113973,442.9262764727025,5.106874472094702,5.836682460351383,8.208333333333334,11.636245358914685,-0.37231377021578654,NA,4.836682460351383
1991 Q4,8.229166666666666,8.229166666666666,6.509105359712734,443.9889362880409,4.250639261353584,5.229511881934457,8.083333333333334,11.638233412393397,-0.15665638594026826,NA,4.229511881934457
1992 Q1,8.041666666666666,8.041666666666666,6.351748173229188,444.9203876859106,3.7258055914787036,4.640011197525951,8.229166666666666,11.643922944447949,0.41831649681187305,NA,3.6400111975259506
1992 Q2,9.1875,9.1875,6.7150788964825665,445.90478049543253,3.937571238087756,4.255222640753686,8.041666666666666,11.643065488304835,0.32602321506843784,NA,3.2552226407536864
1992 Q3,7.828126666666667,7.828126666666667,6.557478159944245,446.468884323276,2.2564153113737717,3.5426078505734537,9.1875,11.635778257591213,-0.4238113018868641,NA,2.5426078505734537
1992 Q4,6.359376666666667,6.359376666666667,6.142377802102761,447.40590940365,3.7481003214960396,3.4169731156090677,7.828126666666667,11.630748954095123,-0.9646170731914677,NA,2.4169731156090677
1993 Q1,5.375,5.375,5.180288874639594,448.3678019945775,3.8475703637100622,3.4474143086669073,6.359376666666667,11.627419657513991,-1.3541214449808463,NA,2.4474143086669073
1993 Q2,5.104166666666667,5.104166666666667,5.009385967774604,449.3414790009372,3.894708025438831,3.436698505504676,5.375,11.6365526605645,-0.5174275757936688,NA,2.436698505504676
1993 Q3,4.75,4.75,4.623514170119089,449.8415177206406,2.000154878813376,3.3726333973645772,5.104166666666667,11.640358572696426,-0.23396062495651196,NA,2.3726333973645772
1993 Q4,4.395833333333333,4.395833333333333,4.443984611358013,450.0456760579592,0.8166333492745537,2.6397666543092058,4.75,11.64581599128187,0.1939764326717129,NA,1.6397666543092058
1994 Q1,4.145836666666667,4.145836666666667,4.797588806549213,450.12591563465725,0.32095830679210735,1.758113640079717,4.395833333333333,11.65142498570759,0.616374049088415,NA,0.758113640079717
1994 Q2,4.19271,4.19271,5.616432124813161,450.01179684420396,-0.45647516181297476,0.6703178432667656,4.145836666666667,11.643070850841578,-0.37837601085645,NA,-0.3296821567332344
1994 Q3,4.291666666666667,4.291666666666667,5.831273767175596,450.36980560979083,1.432035062347481,0.5282878891502918,4.19271,11.651254620278916,0.2593066566158398,NA,-0.4717121108497082
1994 Q4,4.125003333333333,4.125003333333333,5.677626442120301,450.56215904720733,0.7694137496660147,0.516482989248157,4.291666666666667,11.654699451967069,0.40145137552893667,NA,-0.48351701075184295
1995 Q1,3.7916666666666665,3.7916666666666665,5.590288505518074,451.4533631257856,3.564816314312935,1.327447491128364,4.125003333333333,11.65109710733003,-0.18321424910119205,NA,0.327447491128364
1995 Q2,3.2968766666666665,3.2968766666666665,5.433594617684187,451.92331054490376,1.879789676472754,1.9115137006997962,3.7916666666666665,11.65429677517672,-0.11047078087520965,NA,0.9115137006997962
1995 Q3,2.69792,2.69792,5.363773924180562,452.3033697439871,1.5202367963333074,1.9335641341962528,3.2968766666666665,11.659448857905147,0.1341370844203365,NA,0.9335641341962528
1995 Q4,2.00521,2.00521,4.903389574630168,452.4445108708969,0.5645645076391759,1.8823518236895431,2.69792,11.657356302291856,-0.3696118669094164,NA,0.8823518236895431
1996 Q1,1.72917,1.72917,5.418517857657923,452.55834206021194,0.4553247572602004,1.1049789344263594,2.00521,11.664936798839994,0.0694516884235108,NA,0.10497893442635942
1996 Q2,2.3541666666666665,2.3541666666666665,5.49976088941316,452.73495587580175,0.7064552623592846,0.8116453308979921,1.72917,11.658748974629649,-0.893178261182374,NA,-0.18835466910200793
1996 Q3,2.0781266666666665,2.0781266666666665,5.378275109547722,452.91703751129324,0.7283265419658846,0.6136677673061364,2.3541666666666665,11.656520992616164,-1.4850975471082617,NA,-0.38633223269386363
1996 Q4,1.9166666666666667,1.9166666666666667,5.214916979431128,453.16199440070324,0.9798275576400783,0.717483529806362,2.0781266666666665,11.661285366396527,-1.4029087001573952,NA,-0.282516470193638
1997 Q1,1.78646,1.78646,4.818359952221188,453.3286446643669,0.666601054654592,0.7703026041549599,1.9166666666666667,11.666796620093534,-1.2700850125854428,NA,-0.22969739584504012
1997 Q2,1.4583333333333333,1.4583333333333333,4.689140032688469,453.2662982465621,-0.2493856712192155,0.5313423707603349,1.78646,11.676049764414955,-0.7851743002129306,NA,-0.46865762923966514
1997 Q3,1.5104166666666667,1.5104166666666667,4.614731315606427,453.37000341810017,0.41482068615223966,0.4529659068069236,1.4583333333333333,11.690621805518283,0.21226896924450567,NA,-0.5470340931930764
1997 Q4,1.7968766666666667,1.7968766666666667,4.429976201655919,453.4851545581776,0.46060456030971864,0.3231601574743337,1.5104166666666667,11.694438922333546,0.11809833926256169,NA,-0.6768398425256663
1998 Q1,1.22396,1.22396,3.893827804008724,453.36176243075136,-0.4935685097049003,0.03311776638446062,1.7968766666666667,11.701924135542301,0.3777188603640118,NA,-0.9668822336155394
1998 Q2,1.7916666666666667,1.7916666666666667,4.00780750616625,453.3219823413791,-0.15912035748897324,0.05568409481702119,1.22396,11.711744602808299,0.8608754698290687,NA,-0.9443159051829788
1998 Q3,1.7096366666666667,1.7096366666666667,3.894406039223101,453.4550687899869,0.5323457944310661,0.0850653718867278,1.7916666666666667,11.711125108865147,0.2928397376357836,NA,-0.9149346281132722
1998 Q4,1.47151,1.47151,3.5904298603385434,453.40084071747026,-0.21691229006641777,-0.0843138407073063,1.7096366666666667,11.705974467940905,-0.7332518639612765,NA,-1.0843138407073063
1999 Q1,1.2605566666666668,1.2605566666666668,3.29104003064562,453.69260328846696,1.167050283986626,0.33084085771557525,1.47151,11.71170767557482,-0.6738277564247229,NA,-0.6691591422844247
1999 Q2,1.0794433333333333,1.0794433333333333,3.4007620649195123,453.8612737193197,0.6746817234109415,0.5392913779405539,1.2605566666666668,11.717194417023428,-0.6393891070732252,NA,-0.46070862205944607
1999 Q3,1.3783333333333334,1.3783333333333334,3.7023107535498534,454.4288030833509,2.270117456124865,0.9737342933640036,1.0794433333333333,11.724606888282509,-0.40976486695361825,NA,-0.026265706635996366
1999 Q4,1.91778,1.91778,4.202741290974443,454.7567179128243,1.3116593178935432,1.3558771953539939,1.3783333333333334,11.747852798603533,1.4091669566487384,NA,0.35587719535399387
2000 Q1,2.476113333333333,2.476113333333333,4.3795624898748695,455.28999976945965,2.1331274265413924,1.5973964809926855,1.91778,11.75221083540035,1.3488822757276369,NA,0.5973964809926855
2000 Q2,3.2666666666666666,3.2666666666666666,4.323520817453685,455.41019895598714,0.4807967461101015,1.5489252366674755,2.476113333333333,11.75408217329613,1.0522249938616337,NA,0.5489252366674755
2000 Q3,3.50389,3.50389,4.104674197312566,455.90434216283404,1.9765728273874572,1.4755390794831236,3.2666666666666666,11.760616400376906,1.2360373094927888,NA,0.4755390794831236
2000 Q4,3.4466666666666668,3.4466666666666668,3.9919110109211196,456.34212533058997,1.751132671023825,1.585407417765694,3.50389,11.77483075574707,2.2032688822781754,NA,0.585407417765694
2001 Q1,3.39111,3.39111,3.7428946797983067,456.3526022328264,0.041907608945734864,1.0626024633667797,3.4466666666666668,11.775385094285255,1.8203584259803527,327.5,0.06260246336677966
