quarter,5y_cpi_forecast,cpi,reer_eu_ppi,gdp,log_gdp,ex_av,ex_eoq,ppi_eur_idx,ppi_ch_idx,REER_CREA,log_inflation_diff,lag_log_inflation_diff
1980 Q1,NA,NA,NA,91191.3774491219,11.4207156260787,NA,NA,NA,82.2852,NA,NA,NA
1980 Q2,NA,NA,NA,91654.1173856164,11.425777177360946,NA,NA,NA,83.2732,NA,NA,NA
1980 Q3,NA,NA,NA,92101.6299555752,11.430647919758622,NA,NA,NA,83.8121,NA,NA,NA
1980 Q4,NA,NA,NA,92639.2586647211,11.43646829045098,NA,NA,NA,84.80006666666667,NA,NA,NA
1981 Q1,NA,NA,NA,92657.9134678079,11.436669640562643,NA,NA,NA,86.48846666666667,NA,NA,NA
1981 Q2,NA,NA,NA,93539.4388034163,11.446138431726027,NA,NA,NA,87.65596666666667,NA,NA,NA
1981 Q3,NA,NA,NA,93820.6046395656,11.449139776538356,NA,NA,NA,88.60803333333334,NA,NA,NA
1981 Q4,NA,NA,101.5676,93674.7644599386,11.447584109219854,NA,NA,NA,90.1887,NA,NA,NA
1982 Q1,NA,NA,100.52246666666667,92868.6627772004,11.43894154579916,NA,NA,NA,90.58383333333333,NA,NA,NA
1982 Q2,NA,NA,96.83393333333333,92390.0300193995,11.433774351585178,NA,NA,NA,91.41013333333333,NA,NA,NA
1982 Q3,NA,NA,96.27753333333334,91729.4810949672,11.42659910161391,NA,NA,NA,91.85913333333333,NA,NA,NA
1982 Q4,NA,64.704877172257,95.76993333333333,91729.0824956873,11.426594756226352,NA,NA,NA,92.00293333333333,NA,NA,NA
1983 Q1,NA,64.55840055089017,97.15213333333332,92203.2436599208,11.431750589619144,NA,NA,NA,91.76936666666667,NA,-0.9065323834704486,NA
1983 Q2,NA,65.03057822720237,98.27463333333333,92447.7955122633,11.434399391341822,NA,NA,NA,92.1106,NA,2.914937800179729,-0.9065323834704486
1983 Q3,NA,65.56270666433883,100.49600000000001,92931.1807854931,11.43961450665266,NA,NA,NA,92.73933333333333,NA,3.259777913484996,2.914937800179729
1983 Q4,NA,65.94553491573507,101.29356666666666,93468.0744582002,11.445375207324657,NA,NA,NA,93.31416666666667,NA,2.3288537855759017,3.259777913484996
1984 Q1,NA,66.42070159360114,99.53013333333334,94176.5177782583,11.452926149003329,NA,NA,NA,94.42783333333334,NA,2.871842436578831,2.3288537855759017
1984 Q2,NA,66.9647903728239,97.3539,94847.7009409313,11.46002773617568,NA,NA,NA,95.16426666666666,NA,3.2632742220794597,2.871842436578831
1984 Q3,NA,67.42119820058016,95.7961,96181.142552232,11.473988594073136,NA,NA,NA,95.41573333333334,NA,2.717006958378221,3.2632742220794597
1984 Q4,NA,67.9462658863453,96.69976666666666,96928.0307947864,11.481724031534762,NA,NA,NA,95.84683333333334,NA,3.1030813651092615,2.717006958378221
1985 Q1,NA,68.93992751926963,93.36903333333333,98108.8752310707,11.493833112725914,NA,NA,NA,96.94256666666666,NA,5.807329793909943,3.1030813651092615
1985 Q2,NA,69.3628820942693,94.2045,98846.4021179128,11.501322430545494,NA,NA,NA,97.4454,NA,2.446549826386857,5.807329793909943
1985 Q3,NA,69.59621192434626,96.5059,99173.4512465916,11.504625628891464,NA,NA,NA,96.88863333333333,NA,1.3433020761315362,2.446549826386857
1985 Q4,NA,70.05337742417224,97.47186666666667,100362.261626295,11.516541535362904,NA,NA,NA,97.2838,NA,2.618938645479574,1.3433020761315362
1986 Q1,NA,69.96115600380433,95.83326666666667,100596.745039264,11.518875180649813,NA,NA,NA,96.65506666666667,NA,-0.5269249209842286,2.618938645479574
1986 Q2,NA,69.93978418031303,98.63993333333333,101080.484165012,11.523672351409655,NA,NA,NA,96.09826666666666,NA,-0.12221117959256844,-0.5269249209842286
1986 Q3,NA,70.01242983934347,102.77153333333332,101095.651995051,11.523822397110948,NA,NA,NA,95.8109,NA,0.41525982887122836,-0.12221117959256844
1986 Q4,NA,70.13932189456159,100.77216666666666,101001.623819642,11.522891873116354,NA,NA,NA,95.07436666666666,NA,0.7243125444855281,0.41525982887122836
1987 Q1,NA,70.55506717668047,100.02633333333333,101168.53772992,11.524543095501729,NA,NA,NA,95.0057,NA,2.363969138672317,0.7243125444855281
1987 Q2,NA,70.74733295578963,102.07136666666666,101860.316672905,11.53135770933721,NA,NA,NA,95.02636666666666,NA,1.0885357790609618,2.363969138672317
1987 Q3,NA,71.23278894283337,101.38080000000001,103253.646035943,11.544943822896585,NA,NA,NA,95.18316666666666,NA,2.735356878732631,1.0885357790609618
1987 Q4,NA,71.5382502392209,102.77796666666667,103851.476483079,11.550717046661823,NA,NA,NA,95.65556666666667,NA,1.7116175057680039,2.735356878732631
1988 Q1,NA,71.7971477305045,103.44593333333333,104354.059033477,11.55554481000927,NA,NA,NA,96.2269,NA,1.444990010848457,1.7116175057680039
1988 Q2,NA,72.18910376806714,102.19460000000001,104874.015312236,11.560515054569157,NA,NA,NA,96.893,NA,2.1777468426392943,1.444990010848457
1988 Q3,NA,72.56199512806914,100.80753333333334,106097.029449837,11.572109326564865,NA,NA,NA,97.37246666666667,NA,2.0608738045499564,2.1777468426392943
1988 Q4,NA,72.8461722101106,100.5656,107878.412185988,11.588760058810053,NA,NA,NA,98.53366666666666,NA,1.5634744542573742,2.0608738045499564
1989 Q1,NA,73.4356483359616,97.824700000000007,108386.384351055,11.593457754481063,NA,NA,NA,99.32013333333333,NA,3.22380082205882,1.5634744542573742
1989 Q2,NA,74.25113994496927,95.29313333333333,110199.735072883,11.610049771640739,NA,NA,NA,100.4064,NA,4.417456194866887,3.22380082205882
1989 Q3,NA,74.8196027712567,96.7569,111157.522203756,11.618703593249569,NA,NA,NA,100.613,NA,3.050715768642931,4.417456194866887
1989 Q4,NA,76.020549617585,94.6577,112190.420213688,11.62795288708586,NA,NA,NA,101.04090000000001,NA,6.369509464770573,3.050715768642931
1990 Q1,NA,77.07117165903409,94.80356666666667,114400.886270401,11.647464105016716,NA,NA,NA,101.90443333333333,NA,5.490243504906189,6.369509464770573
1990 Q2,NA,77.92314205383553,98.33383333333333,114879.649024277,11.651640329126591,NA,NA,NA,102.88823333333333,NA,4.39747216634494,5.490243504906189
1990 Q3,NA,79.15571178788247,100.65156666666667,114815.332111244,11.651080308925925,NA,NA,NA,103.10483333333333,NA,6.277586077803932,4.39747216634494
1990 Q4,NA,80.50743607760784,98.86263333333333,114151.645615259,11.645283068106846,NA,NA,NA,102.81776666666667,NA,6.773042391155926,6.277586077803932
1991 Q1,NA,81.6380697896663,98.74029999999999,114404.071865659,11.647491950525696,NA,NA,NA,103.44546666666668,NA,5.578456368082385,6.773042391155926
1991 Q2,NA,82.76854868032986,99.2004,113215.52787766,11.637048607408127,NA,NA,NA,103.95256666666667,NA,5.500979064712652,5.578456368082385
1991 Q3,NA,83.90999861846676,97.06363333333333,113124.624189471,11.636245358914685,NA,NA,NA,104.3483,NA,5.478654816923623,5.500979064712652
1991 Q4,NA,84.7762213153366,96.02923333333334,113349.745694768,11.638233412393397,NA,NA,NA,104.36606666666667,NA,4.1081260164510525,5.478654816923623
1992 Q1,NA,85.54068189309257,93.84316666666666,113996.490800142,11.643922944447949,NA,NA,NA,104.35883333333332,NA,3.5907919746957617,4.1081260164510525
1992 Q2,NA,86.4023549389305,91.96866666666666,113898.785703716,11.643065488304835,NA,NA,NA,104.88956666666667,NA,4.009142912322616,3.5907919746957617
1992 Q3,NA,86.91044990840837,95.2927,113071.795866845,11.635778257591213,NA,NA,NA,104.83936666666666,NA,2.345338190409052,4.009142912322616
1992 Q4,NA,87.6956930171947,97.76826666666666,112504.551107261,11.630748954095123,NA,NA,NA,105.1343,NA,3.5978042446810576,2.345338190409052
1993 Q1,NA,88.56061149441463,96.20049999999999,112130.612910878,11.627419657513991,NA,NA,NA,105.29916666666666,NA,3.9257621891113814,3.5978042446810576
1993 Q2,NA,89.42562090643793,97.74076666666667,113159.392915089,11.6365526605645,NA,NA,NA,105.4062,NA,3.8880140819244957,3.9257621891113814
1993 Q3,NA,89.88717419835116,101.45753333333333,113590.888217179,11.640358572696426,NA,NA,NA,105.46556666666666,NA,2.0592141726140767,3.8880140819244957
1993 Q4,NA,90.06429612544844,102.56536666666666,114212.495885494,11.64581599128187,NA,NA,NA,104.78503333333333,NA,0.7874211151580823,2.0592141726140767
1994 Q1,NA,90.1198791371837,104.91326666666667,114854.913111336,11.65142498570759,NA,NA,NA,104.64699999999999,NA,0.24678310808283754,0.7874211151580823
1994 Q2,NA,90.02454978795427,103.63243333333332,113899.396491777,11.643070850841578,NA,NA,NA,104.58416666666666,NA,-0.4233463502444579,0.24678310808283754
1994 Q3,NA,90.36425948527099,105.23413333333333,114835.34747153,11.651254620278916,NA,NA,NA,104.9183,NA,1.506568396461816,-0.4233463502444579
1994 Q4,NA,90.500069481295,104.66636666666666,115231.618066297,11.654699451967069,NA,NA,NA,104.89363333333334,NA,0.6007155632076433,1.506568396461816
1995 Q1,NA,91.3428080749238,104.75596666666667,114817.26084179,11.65109710733003,NA,NA,NA,104.90726666666667,NA,3.707572772580292,0.6007155632076433
1995 Q2,NA,91.76105867594787,106.77276666666667,115185.226309256,11.65429677517672,NA,NA,NA,104.81886666666668,NA,1.8273839253396318,3.707572772580292
1995 Q3,NA,92.13746618608147,105.39503333333333,115780.201488885,11.659448857905147,NA,NA,NA,104.72003333333333,NA,1.6374597286969106,1.8273839253396318
1995 Q4,NA,92.22627937791914,107.2019,115538.178290167,11.657356302291856,NA,NA,NA,104.22566666666665,NA,0.3853824880202694,1.6374597286969106
1996 Q1,NA,92.362614480115,105.62216666666667,116417.343094739,11.664936798839994,NA,NA,NA,103.58413333333333,NA,0.5908703352066169,0.3853824880202694
1996 Q2,NA,92.493237548051,103.2762,115699.19721230501,11.658748974629649,NA,NA,NA,103.03273333333334,NA,0.5652970711761185,0.5908703352066169
1996 Q3,NA,92.69214746646313,103.10763333333334,115441.708428643,11.656520992616164,NA,NA,NA,102.53583333333333,NA,0.8592902507587041,0.5652970711761185
1996 Q4,NA,92.91238183809737,98.97346666666667,115993.028181249,11.661285366396527,NA,NA,NA,102.1422,NA,0.9492633647276705,0.8592902507587041
1997 Q1,NA,93.07509386936816,95.51573333333333,116634.060008601,11.666796620093534,NA,NA,NA,102.05290000000001,NA,0.6998839988060723,0.9492633647276705
1997 Q2,NA,92.97704650023897,97.70593333333333,117718.300378861,11.676049764414955,NA,NA,NA,102.0907,NA,-0.42159097126592826,0.6998839988060723
1997 Q3,NA,93.11869421716473,99.42003333333334,119446.255631387,11.690621805518283,NA,NA,NA,102.16773333333335,NA,0.6089241751997321,-0.42159097126592826
1997 Q4,NA,93.21538529155747,100.20163333333333,119903.067239253,11.694438922333546,NA,NA,NA,102.00103333333334,NA,0.41513000016450974,0.6089241751997321
1998 Q1,NA,93.1029451793587,100.53013333333334,120803.934648059,11.701924135542301,NA,NA,NA,101.44263333333332,NA,-0.4827871763968261,0.41513000016450974
1998 Q2,NA,93.02794308029827,97.90173333333334,121996.130110713,11.711744602808299,NA,NA,NA,101.0647,NA,-0.3223628440011339,-0.4827871763968261
1998 Q3,NA,93.1995042229292,97.98623333333333,121920.577651583,11.711125108865147,NA,NA,NA,100.76676666666667,NA,0.7369963714783268,-0.3223628440011339
1998 Q4,NA,93.12999142044046,100.08536666666667,121294.222983535,11.705974467940905,NA,NA,NA,100.00906666666667,NA,-0.2984511087674946,0.7369963714783268
1999 Q1,NA,93.4124499898826,100.07893333333334,121991.62521431,11.71170767557482,1.5994333333333333,1.5967,NA,99.48813333333334,NA,1.2113437914702985,-0.2984511087674946
1999 Q2,NA,93.52912381848644,99.4615,122662.801321866,11.717194417023428,1.5998333333333334,1.6017,NA,99.45366666666666,NA,0.4992954381460635,1.2113437914702985
1999 Q3,NA,94.11013444313784,99.33313333333334,123575.413990209,11.724606888282509,1.602,1.5978,NA,100.1472,NA,2.4771467844143302,0.4992954381460635
1999 Q4,NA,94.41302947117194,98.5734,126481.6855748,11.747852798603533,1.6000333333333334,1.6059,NA,100.17106666666666,NA,1.2853392967794974,2.4771467844143302
2000 Q1,NA,94.9046375505684,97.63746666666667,127034.100262115,11.75221083540035,1.6070666666666666,1.5918,73.55471798790144,100.40606666666667,2.1652384395222324,2.0773937989510216,1.2853392967794974
2000 Q2,NA,94.9944528626168,99.3755,127272.046557513,11.75408217329613,1.5633666666666668,1.5583,74.47399643369285,100.74319999999999,2.099264546388996,0.3783707169951356,2.0773937989510216
2000 Q3,NA,95.53439755615057,99.17936666666667,128106.393949803,11.760616400376906,1.544,1.5245,75.57517370798877,100.88300000000001,2.02093227029963,2.267146997678182,0.3783707169951356
2000 Q4,NA,95.88232271801994,99.82536666666667,129940.347110816,11.77483075574707,1.5160333333333333,1.5245,76.86313770028967,101.00416666666666,2.000070903212164,1.45410722544419,2.267146997678182
2001 Q1,NA,95.934180366598,98.47763333333333,130012.398021338,11.775385094285255,1.5334333333333334,1.5265,77.26380403828003,100.9855,1.9938831199290166,0.21628024286783898,1.45410722544419
