quarter,unemp_rate,spf_5y_unemp,log_gdp,gdp_gap,gdp_gap_lag_1,gdp_gap_lag_2
1990 Q3,0.5904990055142467,NA,11.651080308925925,0.9747954057641802,0.9892230876984355,0.5296952790291992
1990 Q4,0.615579820938233,NA,11.645283068106846,0.4353652784599798,0.9747954057641802,0.9892230876984355
1991 Q1,0.6699565257404954,NA,11.647491950525696,0.6937085203123725,0.4353652784599798,0.9747954057641802
1991 Q2,0.989023050937438,NA,11.637048607408127,-0.31784042052038264,0.6937085203123725,0.4353652784599798
1991 Q3,1.2291742427651566,NA,11.636245358914685,-0.37231377021578654,-0.31784042052038264,0.6937085203123725
1991 Q4,1.4448675929825434,NA,11.638233412393397,-0.15665638594026826,-0.37231377021578654,-0.31784042052038264
1992 Q1,1.8024141124523967,NA,11.643922944447949,0.41831649681187305,-0.15665638594026826,-0.37231377021578654
1992 Q2,2.30171261754221,NA,11.643065488304835,0.32602321506843784,0.41831649681187305,-0.15665638594026826
1992 Q3,2.7848586995488067,NA,11.635778257591213,-0.4238113018868641,0.32602321506843784,0.41831649681187305
1992 Q4,3.3078969491692365,NA,11.630748954095123,-0.9646170731914677,-0.4238113018868641,0.32602321506843784
1993 Q1,3.8591425441400697,NA,11.627419657513991,-1.3541214449808463,-0.9646170731914677,-0.4238113018868641
1993 Q2,4.395522923691177,NA,11.6365526605645,-0.5174275757936688,-1.3541214449808463,-0.9646170731914677
1993 Q3,4.809481200660137,NA,11.640358572696426,-0.23396062495651196,-0.5174275757936688,-1.3541214449808463
1993 Q4,4.95500616971845,NA,11.64581599128187,0.1939764326717129,-0.23396062495651196,-0.5174275757936688
1994 Q1,4.93298749632767,NA,11.65142498570759,0.616374049088415,0.1939764326717129,-0.23396062495651196
1994 Q2,4.814484003976046,NA,11.643070850841578,-0.37837601085645,0.616374049088415,0.1939764326717129
1994 Q3,4.65777047010376,NA,11.651254620278916,0.2593066566158398,-0.37837601085645,0.616374049088415
1994 Q4,4.464618094603873,NA,11.654699451967069,0.40145137552893667,0.2593066566158398,-0.37837601085645
1995 Q1,4.3223388974626396,NA,11.65109710733003,-0.18321424910119205,0.40145137552893667,0.2593066566158398
1995 Q2,4.219696248301757,NA,11.65429677517672,-0.11047078087520965,-0.18321424910119205,0.40145137552893667
1995 Q3,4.16679509991444,NA,11.659448857905147,0.1341370844203365,-0.11047078087520965,-0.18321424910119205
1995 Q4,4.1604537908225065,NA,11.657356302291856,-0.3696118669094164,0.1341370844203365,-0.11047078087520965
1996 Q1,4.34555087296152,NA,11.664936798839994,0.0694516884235108,-0.3696118669094164,0.1341370844203365
1996 Q2,4.525501855747007,NA,11.658748974629649,-0.893178261182374,0.0694516884235108,-0.3696118669094164
1996 Q3,4.708749386644763,NA,11.656520992616164,-1.4850975471082617,-0.893178261182374,0.0694516884235108
1996 Q4,5.055687456837957,NA,11.661285366396527,-1.4029087001573952,-1.4850975471082617,-0.893178261182374
1997 Q1,5.436560864028746,NA,11.666796620093534,-1.2700850125854428,-1.4029087001573952,-1.4850975471082617
1997 Q2,5.364166339717666,NA,11.676049764414955,-0.7851743002129306,-1.2700850125854428,-1.4029087001573952
1997 Q3,5.147972734981163,NA,11.690621805518283,0.21226896924450567,-0.7851743002129306,-1.2700850125854428
1997 Q4,4.88507875291745,NA,11.694438922333546,0.11809833926256169,0.21226896924450567,-0.7851743002129306
1998 Q1,4.59814014692859,NA,11.701924135542301,0.3777188603640118,0.11809833926256169,0.21226896924450567
1998 Q2,3.9687537984267434,NA,11.711744602808299,0.8608754698290687,0.3777188603640118,0.11809833926256169
1998 Q3,3.550721767137673,NA,11.711125108865147,0.2928397376357836,0.8608754698290687,0.3777188603640118
1998 Q4,3.2817472544785633,NA,11.705974467940905,-0.7332518639612765,0.2928397376357836,0.8608754698290687
1999 Q1,3.0980484488861366,NA,11.71170767557482,-0.6738277564247229,-0.7332518639612765,0.2928397376357836
