"","quarter","gamma_pi","gamma_y","phi","rho_tp","sigma_policy","xi_i","xi_tp_bar","xi_tp_cycl","natural_rate","fitted_obs"
"1",2018 Q1,0.758743702641342,0.597481859521814,0.500352120268471,0.798275888943959,0.513201217335596,0.246550336879246,0.0166429556538786,0.120882212452529,0.022313481548485,0.662394250894161
"2",2018 Q2,0.760537125248149,0.596181142930335,0.500401711652013,0.799784566941906,0.514668770766654,0.244708360741593,12.4311068477071,0.121451519258037,0.00862690638234767,0.56402050637053
"3",2018 Q3,0.759729105064878,0.596917343379863,0.500502547283704,0.799480031514831,0.514914425265376,0.244720757608015,0.00929480139209996,0.118370405760209,0.000163649421049209,0.493704670435364
"4",2018 Q4,0.764759040833484,0.596395119522736,0.500225641475951,0.797912547092116,0.51582711245819,0.242106842042738,2.75647214737026,0.120037820308082,-0.00507602119384258,0.440864393128107
"5",2019 Q1,0.76487905002401,0.596021125379895,0.500156867474235,0.796739128432881,0.515642341040913,0.242423071945056,0.125263445838605,0.119574273069108,-0.0338510006093112,0.137965859993675
"6",2019 Q2,0.771546105188667,0.594593891595178,0.500783054348716,0.790638917517966,0.51704895954529,0.240723638395529,0.012143429899703,0.119679888811889,-0.0401777741603852,0.012772355667674
"7",2019 Q3,0.754956070178493,0.596278076501332,0.500295470698592,0.804300074516429,0.51401363183717,0.246582591351204,0.0114329073649871,0.117670812669748,-0.0811361257537693,-0.521838754593422
"8",2019 Q4,0.75656980644869,0.597985944731271,0.500181206166584,0.8018756907943,0.514263849571445,0.245495829746123,1.78507093535537,0.11833584418016,-0.0445038281080983,-0.277857767982706
"9",2020 Q1,0.755367797179643,0.59619876923418,0.500231855401472,0.802682428975517,0.514334032774551,0.246384453328562,0.0143113430078018,0.115060410922882,-0.0520890425659898,-0.473764460008256
"10",2020 Q2,0.75797629301266,0.596031701551772,0.500036017748347,0.802524192483693,0.514659721841731,0.244792560756112,0.103217924620573,0.116244049233561,-0.0260351394954057,-0.278771879674381
"11",2020 Q3,0.761260510722606,0.596255907635384,0.500136848574065,0.8017690881122,0.515372191302105,0.243192391730457,0.0865537511280879,0.116140401152651,-0.0192463293644283,-0.25499146938697
"12",2020 Q4,0.760988339254593,0.595542606080065,0.500473584992267,0.80100381382882,0.515805037609113,0.243216035543845,0.05462557770873,0.113118496308046,-0.020196961212527,-0.3156651994835
"13",2021 Q1,0.739695958285665,0.583116863303821,0.500830299163243,0.790001037503356,0.519762089166819,0.269841064927996,0.22462111676352,0.000794744250423663,7.08769207004643e-07,-0.0123818577172267
"14",2021 Q2,0.767039994181126,0.5947476230643,0.500420079678719,0.80064481453899,0.516538304935397,0.240635658834223,1.09838878863822,0.116705714688757,0.0280857104871103,0.189125013225863
"15",2021 Q3,0.738131342804307,0.583923092712495,0.500178962573979,0.790923317073945,0.519352564649601,0.268433701104697,12.4835142875548,0.00469123878454176,1.20732247768549e-05,0.00757710073524613
"16",2021 Q4,0.742417888216486,0.583983340586391,0.500615989003807,0.786332963232656,0.520115499207458,0.267276931534746,0.000817961165199079,0.000830247218666858,9.10349157672526e-07,0.135067385256801
"17",2022 Q1,0.733404287767096,0.584684568260203,0.500158358032338,0.794976693090687,0.518728933746771,0.27030137439394,0.250336392259015,0.00120141310491802,6.39196016055661e-06,0.644003929387133
