"","quarter","gamma_pi","gamma_y","phi","rho_tp","sigma_policy","xi_i","xi_tp_bar","xi_tp_cycl","natural_rate","fitted_obs"
"1",2018 Q1,0.471236558866889,0.597656709459894,0.524402268407126,0.890241646409538,0.326807024140156,0.256073086102527,0.079073558305126,0.140684604419206,-0.00468771126690103,0.665792163117241
"2",2018 Q2,0.486211048262677,0.601565153217112,0.533227836519704,0.89101313353748,0.330167634255572,0.254447575078463,0.0213188635547494,0.138072040790568,-0.0152028316640629,0.569045542276714
"3",2018 Q3,0.546080617039812,0.624401098604007,0.566759904978128,0.875613891664638,0.34370922760526,0.249065312083329,0.042165802171906,0.134258321126127,-0.0147617748940071,0.496337684916073
"4",2018 Q4,0.485748580968019,0.599285636941067,0.529639207540869,0.889256644818637,0.330275284819169,0.251773206941165,0.0218939260198845,0.137175582178932,-0.025112556537991,0.443242039017565
"5",2019 Q1,0.482089922603828,0.598350823702086,0.527358216026557,0.889485387587049,0.329535016274169,0.252110147797253,0.363865924528991,0.137121776288889,-0.0568192578353265,0.139733659658084
"6",2019 Q2,0.488111779441244,0.599594837827546,0.530254155044735,0.888904666552999,0.330941541933494,0.25081998057537,0.117129635140261,0.136018997092267,-0.0649484838248251,0.011873251183683
"7",2019 Q3,0.475077768872901,0.597413565420981,0.525018222920909,0.890119913934211,0.328033154308875,0.25449930733557,0.198952210231781,0.137734027168502,-0.118744198731558,-0.522139768419536
"8",2019 Q4,0.483692190624633,0.599678037910711,0.530132889152075,0.889123524125391,0.329721876614489,0.253411144219984,0.016457155170073,0.137395423149396,-0.0798911988279562,-0.28102460629505
"9",2020 Q1,0.483218030481408,0.599044500334548,0.52919708321877,0.889473354247951,0.330083592923853,0.252940454886963,0.0223517747340205,0.135984519438881,-0.0922833217572471,-0.473376972103146
"10",2020 Q2,0.483477932143082,0.598451800908221,0.528218188217392,0.889538866686738,0.329994686220658,0.252044630988363,0.119198393702874,0.135921274241539,-0.062105415712082,-0.279108059881386
"11",2020 Q3,0.492101729701235,0.600346306648964,0.532225198741898,0.888488284498039,0.331864519513928,0.250398417917363,0.0750932777079427,0.134700311165579,-0.0522410611334351,-0.25335555133242
"12",2020 Q4,0.494515110478759,0.600065567675816,0.532600015234111,0.888623400843692,0.332541722799766,0.249273570803897,0.0219336457609469,0.133594684768699,-0.0533162352981224,-0.313492038706878
"13",2021 Q1,0.494390435413198,0.600100560200625,0.53250714408262,0.88844362352123,0.332469199091881,0.249066744544184,0.345522704428696,0.134048175639795,-0.0144580920717846,-0.00639746745178713
"14",2021 Q2,0.493854915364939,0.599149967025719,0.530883444895405,0.888791861025981,0.332320916288473,0.248325320443316,0.0264782541395204,0.133947771855345,0.00879220504039411,0.193026993344094
"15",2021 Q3,0.501281244164669,0.602815225834896,0.536772901718107,0.887654694311156,0.334260957336067,0.247332786750744,0.0626787507533212,0.132804497965582,-0.0120451767234248,0.0065381298282812
"16",2021 Q4,0.502909932928432,0.601154619953514,0.535269622986354,0.887752108745572,0.334423698278798,0.246352667606455,0.00613797678163996,0.132186398965129,0.00337068833312074,0.136420308051989
"17",2022 Q1,0.493867453103048,0.600096647259423,0.531798941600757,0.889007426656701,0.332286016090198,0.248698102480165,0.0184711000480415,0.134376745493005,0.0588187642665607,0.64369086744999
"18",2022 Q2,0.474020425514235,0.599041888534371,0.526488036905762,0.89082583787675,0.32781292261278,0.25466528947785,0.14978513982689,0.139036717018451,0.134548167884858,1.35785660705045
"19",2022 Q3,0.42648572207595,0.604495999396094,0.535386185464402,0.892050128539763,0.323096645452898,0.259996731996631,0.00472240520827525,0.137295768482364,0.153652523467111,1.0529047799488
"20",2022 Q4,0.475444710997563,0.611941791700095,0.559768778227146,0.886307742852801,0.335118001645515,0.259874050527993,0.0439706732055263,0.130634415809981,0.107756614103602,1.41729771499941
"21",2023 Q1,0.523486841859347,0.620060675639403,0.582018189252412,0.879042900028518,0.343041554950407,0.256823231246851,0.0100836228367092,0.127445933320578,0.0615881662101682,1.40260219711171
"22",2023 Q2,0.694106399691476,0.648802238750505,0.669810498237672,0.824882558358716,0.381199608778314,0.244393272981099,0.0659508126884501,0.130603602680108,-0.0193697999790626,0.99453755605665
"23",2023 Q3,0.748589357457407,0.663208783557984,0.701486977921079,0.797452501468154,0.393065081937483,0.237032734984274,0.0689478880778646,0.133978184927755,-0.0367694139729564,1.00513828506079
"24",2023 Q4,0.771433319379437,0.67010087883674,0.715752110891091,0.789201108109991,0.395765187110463,0.232342236947664,0.0281923226528039,0.137586942779616,-0.0653366771927167,0.853099125430054
"25",2024 Q1,0.786072264640867,0.67428100503833,0.72941842259129,0.783679790787862,0.39840680468394,0.227846968209428,0.0299572001769867,0.140689199937878,-0.0807972993051614,0.773209910151736
"26",2024 Q2,0.785305082122103,0.679494049119575,0.732298227278294,0.784779071736446,0.39570855756282,0.226711692662821,0.0282051014532271,0.140595607025603,-0.0848348400319417,0.684263573266976
"27",2024 Q3,0.780787779871437,0.683969183059965,0.734810289795796,0.787708835466007,0.393089523780642,0.226400432187576,0.021314284176583,0.140281070523278,-0.107338821672273,0.476176798991021
"28",2024 Q4,0.773515408308903,0.688640563270112,0.734898049890107,0.78889878464706,0.389738220143559,0.225874597029625,0.0333736986468805,0.139506786842924,-0.0842776355630578,0.524810694302291
"29",2025 Q1,0.774147158655006,0.690556290952366,0.734068319097006,0.788238412671794,0.387155734528303,0.22503362383538,0.0354283013095514,0.139202556512964,-0.0505348559186559,0.629405981570288
"30",2025 Q2,0.761955271332939,0.691658687607868,0.732782733528406,0.790413186795117,0.383843202600763,0.225447188675122,0.0381963020022776,0.137247412944805,-0.0438646910202797,0.643395653392841
"31",2025 Q3,0.749334387738943,0.687422035887834,0.729999888383384,0.79318306937805,0.380338265983094,0.226343698886154,0.0720574787083508,0.13478147184002,-0.0359955047239323,0.68704578434175
"32",2025 Q4,0.730117608153906,0.676907289529108,0.725983460042499,0.797950207583354,0.37729736212431,0.228631507261378,0.0394964129629639,0.13245685410304,-0.0366742739092695,0.727180896457102
