"","quarter","gamma_pi","gamma_y","phi","rho_tp","sigma_policy","xi_i","xi_tp_bar","xi_tp_cycl","natural_rate","fitted_obs"
"1",2018 Q2,0.471622536937825,0.596892875862879,0.523306928467106,0.890670555633956,0.327021635528216,0.254963446076315,0.0768276999356473,0.139740662760236,-0.0154733216391758,0.569056103145593
"2",2018 Q3,0.476714872178471,0.597600454636446,0.525225538848112,0.890181328894172,0.328235239534508,0.253494926791549,0.00531955224023999,0.138554137911212,-0.0217798442115432,0.497044130090959
"3",2018 Q4,0.481909033490944,0.598315397871278,0.527184754034419,0.889700990691556,0.329468758967972,0.252017308440485,0.0143853303875909,0.137345914556701,-0.0253447039745234,0.443259573068694
"4",2019 Q1,0.482192814517647,0.598355246444581,0.527453355232539,0.889620375322979,0.329591791271398,0.252068822478147,0.107322322503773,0.137059988016426,-0.0568442687411866,0.13973535276726
"5",2019 Q2,0.552317542201192,0.60849490797969,0.572009613514938,0.862536209368446,0.346343462570523,0.246483837100584,0.0218112936949734,0.133292792753457,-0.0558642627229746,0.0121495042116402
"6",2019 Q3,0.475063380480596,0.597405428362881,0.525005967891404,0.890122746674435,0.328029488437481,0.25449978971052,0.022903019314353,0.137736202506497,-0.118748405488983,-0.522139627330359
"7",2019 Q4,0.477515734838301,0.597732852878528,0.5258188843695,0.889837912546686,0.328540729992893,0.253650707012276,0.0161757919740743,0.137596909438522,-0.0803518616762217,-0.281060244311879
"8",2020 Q1,0.479799460223795,0.598052375971006,0.526823210339302,0.889940666549819,0.32920837287718,0.253142999488335,0.0281888786451432,0.136314001108254,-0.0928100822053278,-0.47336072091159
"9",2020 Q2,0.483006016062062,0.598335680395328,0.527908017334627,0.889590156518492,0.329899084893143,0.252063562605693,0.0246826647151638,0.135959839118558,-0.0621594348248748,-0.279105860571341
"10",2020 Q3,0.487976796131576,0.598979084222573,0.529762925204681,0.889141016241172,0.331062932018338,0.250640537500519,0.0255208837811564,0.134870935490653,-0.0526367182423456,-0.25335077748189
"11",2020 Q4,0.492685701675979,0.599594323196172,0.531571682585303,0.888715107467215,0.33218823771212,0.249373922777721,0.0156572495578961,0.133680081978408,-0.0533946280617036,-0.31348803522351
"12",2021 Q1,0.492806929190398,0.59960711187868,0.531463159230401,0.888743179885999,0.332134498984596,0.249147633042427,0.00543101313302417,0.134155659282249,-0.0146380412964483,-0.00639001529212183
"13",2021 Q2,0.495905600220904,0.600141604837071,0.532580263090207,0.888396992229143,0.332712547906846,0.248181213305767,0.0125607004004608,0.133882628578478,0.00899080509007035,0.19300912298783
"14",2021 Q3,0.49908499449957,0.600570282815946,0.533825218376936,0.887956876763805,0.333534297449309,0.247416905218882,0.0360792034484203,0.133068229830918,-0.0122286677270092,0.00655720673369894
"15",2021 Q4,0.50289402555623,0.601148069661915,0.535259515569041,0.887754079840462,0.334419128218923,0.246353258976249,0.00874348750692003,0.132188573357876,0.00336983646668379,0.136420428818899
"16",2022 Q1,0.493487121206718,0.600007195764826,0.531594316454366,0.889052232307405,0.332212476098626,0.248715289009893,0.0155469179051546,0.134403406853306,0.0588133430504284,0.643693160376821
"17",2022 Q2,0.471802341145048,0.597084464079698,0.523341296511227,0.891532180240718,0.327116063286511,0.254726771655785,0.0272848479713324,0.139278334476119,0.134620345604022,1.35791673316501
"18",2022 Q3,0.423475882766581,0.598254057815188,0.527339924812152,0.893143616934545,0.321256831854902,0.26022047798353,0.210837561455736,0.137696899392599,0.156841229273587,1.05303820675659
"19",2022 Q4,0.471573243095317,0.61043672428248,0.557069784758572,0.88682510644439,0.33424803542595,0.259978560340409,0.0401786741688329,0.130966771758712,0.108087559892867,1.41725156114216
"20",2023 Q1,0.522939282522496,0.619935214453633,0.581695942943723,0.879191246996238,0.342912965533857,0.256850366452982,0.125825509232736,0.127469935872474,0.0615389572661435,1.4026160579094
"21",2023 Q2,0.694104308700545,0.648799764464065,0.669809170975031,0.824883977975625,0.381199245455364,0.244393333272124,0.0547488894564297,0.130603809829299,-0.0193699670601384,0.994537592899034
"22",2023 Q3,0.748585281011013,0.663206502740195,0.701486338197202,0.797455349743797,0.393064295042706,0.237033227291717,0.0563466078172536,0.133977215257457,-0.0367695021823014,1.00513823354866
"23",2023 Q4,0.771432757931268,0.67010308149832,0.715752139082533,0.789209063267765,0.395765161874508,0.232341529724872,0.0488494857786749,0.137587760545602,-0.0653375455143199,0.853098827532525
"24",2024 Q1,0.786035148233343,0.67426215362707,0.729407959488233,0.783677184346391,0.398403810550333,0.227854960392309,0.032250056757059,0.140678675226792,-0.0807923890933223,0.773209636344258
"25",2024 Q2,0.785305435454152,0.679488387915999,0.73229841099818,0.784774076036087,0.395708747853653,0.226711356252381,0.0211250611547066,0.140595670141483,-0.0848337999103149,0.684263809754072
"26",2024 Q3,0.780789434457262,0.683970748403304,0.734810846547925,0.787708217908456,0.393089707486362,0.226399975049616,0.0446840165364654,0.140281643256474,-0.107339262928424,0.476176897964937
"27",2024 Q4,0.773516686880737,0.688641453582847,0.734898652782989,0.788896023681466,0.38973849539267,0.225874017457643,0.0403047918346918,0.139507411617707,-0.0842773026239959,0.52481098886281
"28",2025 Q1,0.774148270612795,0.690558614154178,0.734068951660731,0.788242235073296,0.38715531536454,0.225032142657037,0.0555815321171944,0.139204514332172,-0.0505370230393619,0.629406283760749
"29",2025 Q2,0.761953174477692,0.691661781364811,0.732782661261629,0.790411983689459,0.383842487347716,0.225447833414953,0.0602613287664667,0.137247152168432,-0.0438643299661595,0.643395635308797
"30",2025 Q3,0.749336889104025,0.687433486800517,0.730003018889897,0.793180003682988,0.380339160848959,0.226343002460379,0.0388694264784651,0.134781977846436,-0.0359942257568094,0.687045639127397
"31",2025 Q4,0.730114933221022,0.676903579026499,0.725983192476991,0.797950225791401,0.377297360438858,0.228632647648281,0.0380744541920585,0.132455658629929,-0.0366735641561481,0.727180742776015
