"","quarter","gamma_pi","gamma_y","phi","rho_tp","sigma_policy","xi_i","xi_tp_bar","xi_tp_cycl","natural_rate","fitted_obs"
"1",2018 Q1,0.272709909089097,0.451845194956947,0.196844356002832,0.906089943340064,0.301473007181993,0.27125334796865,0.00232443363834743,0.167847714561651,-0.0310143776020311,0.668484175051513
"2",2018 Q2,0.275285571751785,0.453436780714533,0.198140502946979,0.906029347797281,0.303171701022754,0.269746148644223,0.12937330970111,0.166298637509914,-0.0415195333823677,0.571384493810961
"3",2018 Q3,0.277988766939572,0.455044581312444,0.199467296277683,0.905953594369267,0.304909329994685,0.268188056749151,0.0482226355249885,0.164745071388352,-0.0475805192223865,0.499238185276533
"4",2018 Q4,0.28076822410979,0.456644975204167,0.200797018578464,0.905895041206596,0.306663469479363,0.266622142572163,0.0107968387222919,0.16318515637312,-0.0505648579473732,0.445324292792146
"5",2019 Q1,0.281222280460378,0.456951455898455,0.201123465547522,0.905755941410159,0.30698380348868,0.266470231832871,0.10008802482099,0.162812968902391,-0.0876757858632278,0.141687546646346
"6",2019 Q2,0.283615129428608,0.458298428816995,0.202274756890551,0.905679783758403,0.308477276116692,0.265186758692951,0.0775208002546037,0.161460339096284,-0.0971673767517026,0.0138237703628629
"7",2019 Q3,0.278975296061441,0.455842279515677,0.200346343377474,0.90569036702159,0.30572791207585,0.268017625833359,0.0209928384470152,0.163592404238678,-0.163014228589679,-0.52009276200657
"8",2019 Q4,0.280372688182623,0.456572914975457,0.200907997703411,0.905674318370419,0.306544823486698,0.267121290298093,0.0692600534953787,0.163000471060755,-0.116556012022936,-0.278818234605966
"9",2020 Q1,0.282079262759267,0.457616847030208,0.201821803125562,0.905754773966359,0.307704843789145,0.266284603617021,0.0349841333227948,0.161774359628875,-0.13224636261914,-0.471193489493384
"10",2020 Q2,0.283863716062794,0.458496433551957,0.202563478147856,0.905722968935413,0.308757081112296,0.265180467493688,0.0216594878090249,0.160953607618183,-0.094806570457824,-0.276924900488004
"11",2020 Q3,0.286570826686987,0.459932798408002,0.203776392548022,0.905691565823954,0.310391856990934,0.26370071200493,0.00825523234046815,0.159535610304797,-0.0829051717075376,-0.251306178809936
"12",2020 Q4,0.289207422778482,0.461321319780003,0.204974877184771,0.905659068630247,0.311982307738725,0.262332799507151,0.15095735839433,0.158111640200695,-0.0834505913013441,-0.311521270525828
"13",2021 Q1,0.289541014664371,0.461414444276019,0.20499197186582,0.905694269954453,0.312106562803137,0.262033634434419,0.0128357414203649,0.15816427748531,-0.0358026276795606,-0.00448873480678624
"14",2021 Q2,0.291240159645991,0.462234297879172,0.205651014490659,0.905693845217533,0.31305362280882,0.261077157002181,0.0382486263057171,0.157456998501745,-0.00617524023072482,0.194755443340643
"15",2021 Q3,0.293122030687331,0.463209949696514,0.206529294845627,0.905581927672107,0.314163540573624,0.260177751663209,0.0974745933762273,0.15645995218214,-0.0302188784279605,0.00814830070116483
"16",2021 Q4,0.295414583404648,0.464333927879615,0.207478403739739,0.905632628049544,0.315478063891102,0.259009659185965,0.0701846451467247,0.155343147708819,-0.0104264544340241,0.137900321073825
"17",2022 Q1,0.291335417253259,0.462285186517062,0.205596826316097,0.905881642121675,0.313075438820547,0.260962571359599,0.0331093279024802,0.15751648444844,0.0576864952491005,0.645035419225377
"18",2022 Q2,0.28139026611381,0.456977094103306,0.200977985758087,0.906357320572801,0.307068571306907,0.266180224399603,0.0106644197291109,0.162809310152492,0.151414006407484,1.35886733493586
"19",2022 Q3,0.26040838044708,0.453125193256819,0.198822974872733,0.906751632419636,0.301586559899763,0.268524290948529,0.032900139928762,0.163784109201892,0.201800281283322,1.05264016997242
"20",2022 Q4,0.263142825400253,0.45404869119951,0.201689420053533,0.906370318715477,0.309582009206886,0.269210611361141,0.327993570117318,0.160186942506569,0.135900479903537,1.41477843081362
