"REGION","CANTON","PERIOD","VALUE","STATUS","OBS_COEF"
"6","4","2010-02","1.5","A","C"
"6","5","2010-02","2.3","A","B"
"6","6","2010-02","1.6","A","C"
"6","7","2010-02","2","A","C"
"6","9","2010-02","2.8","A","B"
"7","Total","2010-02","5.3","A","B"
"7","21","2010-02","5.3","A","B"
"Total","Total","2010-01","4.1","A","A"
"1","Total","2010-01","5.8","A","A"
"1","22","2010-01","5.5","A","A"
"1","23","2010-01","5.1","A","B"
"1","25","2010-01","6.9","A","A"
"2","Total","2010-01","3.8","A","A"
"2","2","2010-01","3.1","R","A"
"2","10","2010-01","3.3","A","B"
"2","11","2010-01","4.3","A","B"
"2","24","2010-01","7.1","A","B"
"2","26","2010-01","6.1","R","C"
"3","Total","2010-01","3.8","A","A"
"3","12","2010-01","4.7","A","B"
"3","13","2010-01","3.7","A","B"
"3","19","2010-01","3.6","A","A"
"4","Total","2010-01","4.1","A","A"
"4","1","2010-01","4.1","A","A"
"5","Total","2010-01","3.2","A","A"
"5","8","2010-01","3","A","C"
"5","14","2010-01","4","A","C"
"5","15","2010-01","2.3","A","C"
"5","16","2010-01","1.4","A","D"
"5","17","2010-01","3.6","A","A"
"5","18","2010-01","1.8","A","B"
"5","20","2010-01","3.5","A","B"
"6","Total","2010-01","2.7","A","A"
"6","3","2010-01","3","A","A"
"6","4","2010-01","1.8","A","C"
"6","5","2010-01","2.3","A","B"
"6","6","2010-01","1.6","A","C"
"6","7","2010-01","2","A","C"
"6","9","2010-01","3","A","B"
"7","Total","2010-01","5.4","A","B"
"7","21","2010-01","5.4","A","B"
"Total","Total","2009-12","4.4","A",""
"1","Total","2009-12","6.3","A",""
"1","22","2009-12","5.9","A",""
"1","23","2009-12","5.9","A",""
"1","25","2009-12","7.2","A",""
"2","Total","2009-12","4","A",""
"2","2","2009-12","3.2","R",""
"2","10","2009-12","3.8","A",""
"2","11","2009-12","4.6","A",""
"2","24","2009-12","7.2","A",""
"2","26","2009-12","6.3","R",""
"3","Total","2009-12","4","A",""
"3","12","2009-12","4.4","A",""
"3","13","2009-12","3.9","A",""
"3","19","2009-12","3.9","A",""
"4","Total","2009-12","4.4","A",""
"4","1","2009-12","4.4","A",""
"5","Total","2009-12","3.5","A",""
"5","8","2009-12","3","A",""
"5","14","2009-12","4.1","A",""
"5","15","2009-12","2.4","A",""
"5","16","2009-12","1.6","A",""
"5","17","2009-12","3.9","A",""
"5","18","2009-12","2.1","A",""
"5","20","2009-12","3.9","A",""
"6","Total","2009-12","3","A",""
"6","3","2009-12","3.3","A",""
"6","4","2009-12","1.8","A",""
"6","5","2009-12","2.5","A",""
"6","6","2009-12","1.9","A",""
"6","7","2009-12","2.1","A",""
"6","9","2009-12","3.3","A",""
"7","Total","2009-12","5.7","A",""
"7","21","2009-12","5.7","A",""
"Total","Total","2009-11","4.2","A",""
"1","Total","2009-11","6","A",""
"1","22","2009-11","5.7","A",""
"1","23","2009-11","4.8","A",""
"1","25","2009-11","7.2","A",""
"2","Total","2009-11","3.7","A",""
"2","2","2009-11","2.9","R",""
"2","10","2009-11","3.6","A",""
"2","11","2009-11","4.4","A",""
"2","24","2009-11","6.8","A",""
"2","26","2009-11","5.9","R",""
"3","Total","2009-11","3.8","A",""
"3","12","2009-11","4.1","A",""
"3","13","2009-11","3.7","A",""
"3","19","2009-11","3.8","A",""
"4","Total","2009-11","4.3","A",""
"4","1","2009-11","4.3","A",""
"5","Total","2009-11","3.3","A",""
"5","8","2009-11","2.7","A",""
"5","14","2009-11","3.7","A",""
"5","15","2009-11","2.1","A",""
"5","16","2009-11","1.5","A",""
"5","17","2009-11","3.7","A",""
"5","18","2009-11","2.2","A",""
"5","20","2009-11","3.7","A",""
"6","Total","2009-11","2.8","A",""
"6","3","2009-11","3.2","A",""
"6","4","2009-11","1.7","A",""
"6","5","2009-11","2.3","A",""
"6","6","2009-11","1.9","A",""
"6","7","2009-11","2.2","A",""
"6","9","2009-11","3.1","A",""
"7","Total","2009-11","5.5","A",""
"7","21","2009-11","5.5","A",""
"Total","Total","2009-10","4","A",""
"1","Total","2009-10","5.7","A",""
"1","22","2009-10","5.5","A",""
"1","23","2009-10","4.1","A",""
"1","25","2009-10","7","A",""
"2","Total","2009-10","3.6","A",""
"2","2","2009-10","2.8","R",""
"2","10","2009-10","3.6","A",""
"2","11","2009-10","4.3","A",""
"2","24","2009-10","6.5","A",""
"2","26","2009-10","5.8","R",""
"3","Total","2009-10","3.7","A",""
"3","12","2009-10","4.1","A",""
"3","13","2009-10","3.6","A",""
"3","19","2009-10","3.7","A",""
"4","Total","2009-10","4.2","A",""
"4","1","2009-10","4.2","A",""
"5","Total","2009-10","3.2","A",""
"5","8","2009-10","2.6","A",""
"5","14","2009-10","3.6","A",""
"5","15","2009-10","2.1","A",""
"5","16","2009-10","1.3","A",""
"5","17","2009-10","3.6","A",""
"5","18","2009-10","2.1","A",""
"5","20","2009-10","3.6","A",""
"6","Total","2009-10","2.7","A",""
"6","3","2009-10","3.1","A",""
"6","4","2009-10","1.4","A",""
"6","5","2009-10","2.2","A",""
"6","6","2009-10","1.9","A",""
"6","7","2009-10","2.1","A",""
"6","9","2009-10","3","A",""
"7","Total","2009-10","5.1","A",""
"7","21","2009-10","5.1","A",""
"Total","Total","2009-09","3.9","A",""
"1","Total","2009-09","5.6","A",""
"1","22","2009-09","5.4","A",""
"1","23","2009-09","3.8","A",""
"1","25","2009-09","7","A",""
"2","Total","2009-09","3.6","A",""
"2","2","2009-09","2.8","R",""
"2","10","2009-09","3.5","A",""
"2","11","2009-09","4.2","A",""
"2","24","2009-09","6.4","A",""
"2","26","2009-09","5.8","R",""
"3","Total","2009-09","3.7","A",""
"3","12","2009-09","3.9","A",""
"3","13","2009-09","3.6","A",""
"3","19","2009-09","3.7","A",""
"4","Total","2009-09","4","A",""
"4","1","2009-09","4","A",""
"5","Total","2009-09","3.1","A",""
"5","8","2009-09","2.6","A",""
"5","14","2009-09","3.6","A",""
"5","15","2009-09","2.2","A",""
"5","16","2009-09","1.4","A",""
"5","17","2009-09","3.6","A",""
"5","18","2009-09","1.6","A",""
"5","20","2009-09","3.5","A",""
"6","Total","2009-09","2.6","A",""
"6","3","2009-09","3","A",""
"6","4","2009-09","1.2","A",""
"6","5","2009-09","2.1","A",""
"6","6","2009-09","1.7","A",""
"6","7","2009-09","2","A",""
"6","9","2009-09","3.1","A",""
"7","Total","2009-09","4.8","A",""
"7","21","2009-09","4.8","A",""
"Total","Total","2009-08","3.8","A",""
"1","Total","2009-08","5.5","A",""
"1","22","2009-08","5.3","A",""
"1","23","2009-08","3.6","A",""
"1","25","2009-08","6.9","A",""
"2","Total","2009-08","3.5","A",""
"2","2","2009-08","2.7","R",""
"2","10","2009-08","3.4","A",""
"2","11","2009-08","4.1","A",""
"2","24","2009-08","6.5","A",""
"2","26","2009-08","5.7","R",""
"3","Total","2009-08","3.6","A",""
"3","12","2009-08","3.8","A",""
"3","13","2009-08","3.5","A",""
"3","19","2009-08","3.6","A",""
"4","Total","2009-08","3.9","A",""
"4","1","2009-08","3.9","A",""
"5","Total","2009-08","3.1","A",""
"5","8","2009-08","2.8","A",""
"5","14","2009-08","3.5","A",""
"5","15","2009-08","2.3","A",""
"5","16","2009-08","1.3","A",""
"5","17","2009-08","3.6","A",""
"5","18","2009-08","1.5","A",""
"5","20","2009-08","3.4","A",""
"6","Total","2009-08","2.6","A",""
"6","3","2009-08","2.9","A",""
"6","4","2009-08","1.1","A",""
"6","5","2009-08","2.2","A",""
"6","6","2009-08","1.6","A",""
"6","7","2009-08","1.9","A",""
"6","9","2009-08","3","A",""
"7","Total","2009-08","4.6","A",""
"7","21","2009-08","4.6","A",""
"Total","Total","2009-07","3.7","A",""
"1","Total","2009-07","5.3","A",""
"1","22","2009-07","5.1","A",""
"1","23","2009-07","3.5","A",""
"1","25","2009-07","6.8","A",""
"2","Total","2009-07","3.3","A",""
"2","2","2009-07","2.5","R",""
"2","10","2009-07","3.2","A",""
"2","11","2009-07","4.1","A",""
"2","24","2009-07","6.1","A",""
"2","26","2009-07","5.6","R",""
"3","Total","2009-07","3.5","A",""
"3","12","2009-07","3.8","A",""
"3","13","2009-07","3.5","A",""
"3","19","2009-07","3.4","A",""
"4","Total","2009-07","3.8","A",""
"4","1","2009-07","3.8","A",""
"5","Total","2009-07","2.9","A",""
"5","8","2009-07","2.5","A",""
"5","14","2009-07","3.3","A",""
"5","15","2009-07","2.2","A",""
"5","16","2009-07","1.3","A",""
"5","17","2009-07","3.4","A",""
"5","18","2009-07","1.5","A",""
"5","20","2009-07","3.2","A",""
"6","Total","2009-07","2.4","A",""
"6","3","2009-07","2.8","A",""
"6","4","2009-07","1","A",""
"6","5","2009-07","2","A",""
"6","6","2009-07","1.5","A",""
"6","7","2009-07","1.8","A",""
"6","9","2009-07","2.8","A",""
"7","Total","2009-07","4.5","A",""
"7","21","2009-07","4.5","A",""
"Total","Total","2009-06","3.6","A",""
"1","Total","2009-06","5.2","A",""
"1","22","2009-06","4.9","A",""
"1","23","2009-06","3.4","A",""
"1","25","2009-06","6.7","A",""
"2","Total","2009-06","3.2","A",""
"2","2","2009-06","2.4","R",""
"2","10","2009-06","3","A",""
"2","11","2009-06","3.9","A",""
"2","24","2009-06","5.8","A",""
"2","26","2009-06","5.1","R",""
"3","Total","2009-06","3.4","A",""
"3","12","2009-06","3.7","A",""
"3","13","2009-06","3.4","A",""
"3","19","2009-06","3.3","A",""
"4","Total","2009-06","3.6","A",""
"4","1","2009-06","3.6","A",""
"5","Total","2009-06","2.8","A",""
"5","8","2009-06","2.3","A",""
"5","14","2009-06","3.2","A",""
"5","15","2009-06","2","A",""
"5","16","2009-06","1.3","A",""
"5","17","2009-06","3.3","A",""
"5","18","2009-06","1.7","A",""
"5","20","2009-06","3","A",""
"6","Total","2009-06","2.4","A",""
"6","3","2009-06","2.7","A",""
"6","4","2009-06","1.1","A",""
"6","5","2009-06","1.9","A",""
"6","6","2009-06","1.5","A",""
"6","7","2009-06","1.8","A",""
"6","9","2009-06","2.7","A",""
"7","Total","2009-06","4.5","A",""
"7","21","2009-06","4.5","A",""
"Total","Total","2009-05","3.4","A",""
"1","Total","2009-05","5.1","A",""
"1","22","2009-05","4.8","A",""
"1","23","2009-05","3.5","A",""
"1","25","2009-05","6.6","A",""
"2","Total","2009-05","3.1","A",""
"2","2","2009-05","2.4","R",""
"2","10","2009-05","2.9","A",""
"2","11","2009-05","3.6","A",""
"2","24","2009-05","5.5","A",""
"2","26","2009-05","4.7","R",""
"3","Total","2009-05","3.2","A",""
"3","12","2009-05","3.6","A",""
"3","13","2009-05","3.2","A",""
"3","19","2009-05","3.1","A",""
"4","Total","2009-05","3.3","A",""
"4","1","2009-05","3.3","A",""
"5","Total","2009-05","2.8","A",""
"5","8","2009-05","2.3","A",""
"5","14","2009-05","3.1","A",""
"5","15","2009-05","2.1","A",""
"5","16","2009-05","1.2","A",""
"5","17","2009-05","3.2","A",""
"5","18","2009-05","2","A",""
"5","20","2009-05","2.9","A",""
"6","Total","2009-05","2.3","A",""
"6","3","2009-05","2.6","A",""
"6","4","2009-05","1.2","A",""
"6","5","2009-05","1.9","A",""
"6","6","2009-05","1.4","A",""
"6","7","2009-05","1.5","A",""
"6","9","2009-05","2.6","A",""
"7","Total","2009-05","4.4","A",""
"7","21","2009-05","4.4","A",""
"Total","Total","2009-04","3.5","A",""
"1","Total","2009-04","5.2","A",""
"1","22","2009-04","4.9","A",""
"1","23","2009-04","3.8","A",""
"1","25","2009-04","6.6","A",""
"2","Total","2009-04","3.1","A",""
"2","2","2009-04","2.5","R",""
"2","10","2009-04","3","A",""
"2","11","2009-04","3.5","A",""
"2","24","2009-04","5","A",""
"2","26","2009-04","4.8","R",""
"3","Total","2009-04","3.2","A",""
"3","12","2009-04","3.6","A",""
"3","13","2009-04","3.1","A",""
"3","19","2009-04","3.2","A",""
"4","Total","2009-04","3.4","A",""
"4","1","2009-04","3.4","A",""
"5","Total","2009-04","2.7","A",""
"5","8","2009-04","2.3","A",""
"5","14","2009-04","3","A",""
"5","15","2009-04","2","A",""
"5","16","2009-04","1.3","A",""
"5","17","2009-04","3.1","A",""
"5","18","2009-04","2.1","A",""
"5","20","2009-04","2.9","A",""
"6","Total","2009-04","2.4","A",""
"6","3","2009-04","2.7","A",""
"6","4","2009-04","1.2","A",""
"6","5","2009-04","2","A",""
"6","6","2009-04","1.5","A",""
"6","7","2009-04","1.5","A",""
"6","9","2009-04","2.7","A",""
"7","Total","2009-04","4.5","A",""
"7","21","2009-04","4.5","A",""
"Total","Total","2009-03","3.4","A",""
"1","Total","2009-03","5.2","A",""
"1","22","2009-03","4.8","A",""
"1","23","2009-03","3.9","A",""
"1","25","2009-03","6.5","A",""
"2","Total","2009-03","3","A",""
"2","2","2009-03","2.5","R",""
"2","10","2009-03","3.2","A",""
"2","11","2009-03","3.4","A",""
"2","24","2009-03","4.8","A",""
"2","26","2009-03","4.7","R",""
"3","Total","2009-03","3.2","A",""
"3","12","2009-03","3.6","A",""
"3","13","2009-03","3","A",""
"3","19","2009-03","3.1","A",""
"4","Total","2009-03","3.3","A",""
"4","1","2009-03","3.3","A",""
"5","Total","2009-03","2.6","A",""
"5","8","2009-03","2.2","A",""
"5","14","2009-03","2.9","A",""
"5","15","2009-03","2.1","A",""
"5","16","2009-03","1.3","A",""
"5","17","2009-03","3","A",""
"5","18","2009-03","1.5","A",""
"5","20","2009-03","2.8","A",""
"6","Total","2009-03","2.4","A",""
"6","3","2009-03","2.7","A",""
"6","4","2009-03","1.2","A",""
"6","5","2009-03","2","A",""
"6","6","2009-03","1.7","A",""
"6","7","2009-03","1.7","A",""
"6","9","2009-03","2.5","A",""
"7","Total","2009-03","4.8","A",""
"7","21","2009-03","4.8","A",""
"Total","Total","2009-02","3.4","A",""
"1","Total","2009-02","5.2","A",""
"1","22","2009-02","4.7","A",""
"1","23","2009-02","4.4","A",""
"1","25","2009-02","6.3","A",""
"2","Total","2009-02","3","A",""
"2","2","2009-02","2.4","R",""
"2","10","2009-02","3.6","A",""
"2","11","2009-02","3.2","A",""
"2","24","2009-02","4.6","A",""
"2","26","2009-02","4.4","R",""
"3","Total","2009-02","3","A",""
"3","12","2009-02","3.5","A",""
"3","13","2009-02","2.9","A",""
"3","19","2009-02","3","A",""
"4","Total","2009-02","3.2","A",""
"4","1","2009-02","3.2","A",""
"5","Total","2009-02","2.5","A",""
"5","8","2009-02","2","A",""
"5","14","2009-02","2.8","A",""
"5","15","2009-02","2.1","A",""
"5","16","2009-02","1.3","A",""
"5","17","2009-02","2.8","A",""
"5","18","2009-02","1.6","A",""
"5","20","2009-02","2.7","A",""
"6","Total","2009-02","2.3","A",""
"6","3","2009-02","2.7","A",""
"6","4","2009-02","1.3","A",""
"6","5","2009-02","1.9","A",""
"6","6","2009-02","1.6","A",""
"6","7","2009-02","1.7","A",""
"6","9","2009-02","2.5","A",""
"7","Total","2009-02","5.1","A",""
"7","21","2009-02","5.1","A",""
"Total","Total","2009-01","3.3","A",""
"1","Total","2009-01","5.2","A",""
"1","22","2009-01","4.6","A",""
"1","23","2009-01","4.8","A",""
"1","25","2009-01","6.2","A",""
"2","Total","2009-01","2.8","A",""
"2","2","2009-01","2.3","R",""
"2","10","2009-01","3.4","A",""
"2","11","2009-01","3","A",""
"2","24","2009-01","4.3","A",""
"2","26","2009-01","4.1","R",""
"3","Total","2009-01","2.9","A",""
"3","12","2009-01","3.5","A",""
"3","13","2009-01","2.7","A",""
"3","19","2009-01","2.9","A",""
"4","Total","2009-01","3","A",""
"4","1","2009-01","3","A",""
"5","Total","2009-01","2.4","A",""
"5","8","2009-01","2","A",""
"5","14","2009-01","2.5","A",""
"5","15","2009-01","1.9","A",""
"5","16","2009-01","1.2","A",""
"5","17","2009-01","2.6","A",""
"5","18","2009-01","1.7","A",""
"5","20","2009-01","2.6","A",""
"6","Total","2009-01","2.2","A",""
"6","3","2009-01","2.6","A",""
"6","4","2009-01","1.3","A",""
"6","5","2009-01","1.8","A",""
"6","6","2009-01","1.5","A",""
"6","7","2009-01","1.6","A",""
"6","9","2009-01","2.4","A",""
"7","Total","2009-01","5.1","A",""
"7","21","2009-01","5.1","A",""
"Total","Total","2008-12","3","A",""
"1","Total","2008-12","4.9","A",""
"1","22","2008-12","4.3","A",""
"1","23","2008-12","4.7","A",""
"1","25","2008-12","5.9","A",""
"2","Total","2008-12","2.6","A",""
"2","2","2008-12","2.1","R",""
"2","10","2008-12","3","A",""
"2","11","2008-12","2.8","A",""
"2","24","2008-12","3.9","A",""
"2","26","2008-12","3.9","R",""
"3","Total","2008-12","2.7","A",""
"3","12","2008-12","3.4","A",""
"3","13","2008-12","2.5","A",""
"3","19","2008-12","2.6","A",""
"4","Total","2008-12","2.8","A",""
"4","1","2008-12","2.8","A",""
"5","Total","2008-12","2.2","A",""
"5","8","2008-12","1.8","A",""
"5","14","2008-12","2.3","A",""
"5","15","2008-12","1.8","A",""
"5","16","2008-12","1.1","A",""
"5","17","2008-12","2.4","A",""
"5","18","2008-12","1.6","A",""
"5","20","2008-12","2.4","A",""
"6","Total","2008-12","2","A",""
"6","3","2008-12","2.3","A",""
"6","4","2008-12","1.1","A",""
"6","5","2008-12","1.7","A",""
"6","6","2008-12","1.3","A",""
"6","7","2008-12","1.6","A",""
"6","9","2008-12","2.1","A",""
"7","Total","2008-12","4.8","A",""
"7","21","2008-12","4.8","A",""
"Total","Total","2008-11","2.7","A",""
"1","Total","2008-11","4.4","A",""
"1","22","2008-11","4","A",""
"1","23","2008-11","3.4","A",""
"1","25","2008-11","5.7","A",""
"2","Total","2008-11","2.3","A",""
"2","2","2008-11","1.9","R",""
"2","10","2008-11","2.7","A",""
"2","11","2008-11","2.4","A",""
"2","24","2008-11","3.5","A",""
"2","26","2008-11","3.4","R",""
"3","Total","2008-11","2.5","A",""
"3","12","2008-11","3.1","A",""
"3","13","2008-11","2.3","A",""
"3","19","2008-11","2.4","A",""
"4","Total","2008-11","2.5","A",""
"4","1","2008-11","2.5","A",""
"5","Total","2008-11","1.9","A",""
"5","8","2008-11","1.6","A",""
"5","14","2008-11","2.1","A",""
"5","15","2008-11","1.5","A",""
"5","16","2008-11","1","A",""
"5","17","2008-11","2.1","A",""
"5","18","2008-11","1.6","A",""
"5","20","2008-11","2.1","A",""
"6","Total","2008-11","1.8","A",""
"6","3","2008-11","2.1","A",""
"6","4","2008-11","1","A",""
"6","5","2008-11","1.4","A",""
"6","6","2008-11","1.3","A",""
"6","7","2008-11","1.4","A",""
"6","9","2008-11","1.8","A",""
"7","Total","2008-11","4.5","A",""
"7","21","2008-11","4.5","A",""
"Total","Total","2008-10","2.5","A",""
"1","Total","2008-10","4.2","A",""
"1","22","2008-10","3.9","A",""
"1","23","2008-10","2.8","A",""
"1","25","2008-10","5.6","A",""
"2","Total","2008-10","2.1","A",""
"2","2","2008-10","1.7","R",""
"2","10","2008-10","2.5","A",""
"2","11","2008-10","2.2","A",""
"2","24","2008-10","3.3","A",""
"2","26","2008-10","3.1","R",""
"3","Total","2008-10","2.4","A",""
"3","12","2008-10","3","A",""
"3","13","2008-10","2.2","A",""
"3","19","2008-10","2.2","A",""
"4","Total","2008-10","2.4","A",""
"4","1","2008-10","2.4","A",""
"5","Total","2008-10","1.8","A",""
"5","8","2008-10","1.4","A",""
"5","14","2008-10","2","A",""
"5","15","2008-10","1.5","A",""
"5","16","2008-10","0.8","A",""
"5","17","2008-10","1.9","A",""
"5","18","2008-10","1.5","A",""
"5","20","2008-10","1.9","A",""
"6","Total","2008-10","1.7","A",""
"6","3","2008-10","1.9","A",""
"6","4","2008-10","0.8","A",""
"6","5","2008-10","1.3","A",""
"6","6","2008-10","1.2","A",""
"6","7","2008-10","1.2","A",""
"6","9","2008-10","1.8","A",""
"7","Total","2008-10","4.2","A",""
"7","21","2008-10","4.2","A",""
"Total","Total","2008-09","2.4","A",""
"1","Total","2008-09","4.1","A",""
"1","22","2008-09","3.8","A",""
"1","23","2008-09","2.5","A",""
"1","25","2008-09","5.5","A",""
"2","Total","2008-09","2","A",""
"2","2","2008-09","1.6","R",""
"2","10","2008-09","2.4","A",""
"2","11","2008-09","2.1","A",""
"2","24","2008-09","3.2","A",""
"2","26","2008-09","2.8","R",""
"3","Total","2008-09","2.3","A",""
"3","12","2008-09","2.9","A",""
"3","13","2008-09","2.1","A",""
"3","19","2008-09","2.2","A",""
"4","Total","2008-09","2.3","A",""
"4","1","2008-09","2.3","A",""
"5","Total","2008-09","1.6","A",""
"5","8","2008-09","1.2","A",""
"5","14","2008-09","1.9","A",""
"5","15","2008-09","1.5","A",""
"5","16","2008-09","0.8","A",""
"5","17","2008-09","1.8","A",""
"5","18","2008-09","1","A",""
"5","20","2008-09","1.9","A",""
"6","Total","2008-09","1.5","A",""
"6","3","2008-09","1.8","A",""
"6","4","2008-09","0.6","A",""
"6","5","2008-09","1.1","A",""
"6","6","2008-09","1","A",""
"6","7","2008-09","1.1","A",""
"6","9","2008-09","1.7","A",""
"7","Total","2008-09","3.7","A",""
"7","21","2008-09","3.7","A",""
"Total","Total","2008-08","2.4","A",""
"1","Total","2008-08","4","A",""
"1","22","2008-08","3.7","A",""
"1","23","2008-08","2.4","A",""
"1","25","2008-08","5.5","A",""
"2","Total","2008-08","2","A",""
"2","2","2008-08","1.6","R",""
"2","10","2008-08","2.4","A",""
"2","11","2008-08","2.1","A",""
"2","24","2008-08","3.1","A",""
"2","26","2008-08","3","R",""
"3","Total","2008-08","2.3","A",""
"3","12","2008-08","2.8","A",""
"3","13","2008-08","2.2","A",""
"3","19","2008-08","2.2","A",""
"4","Total","2008-08","2.3","A",""
"4","1","2008-08","2.3","A",""
"5","Total","2008-08","1.5","A",""
"5","8","2008-08","1.2","A",""
"5","14","2008-08","1.8","A",""
"5","15","2008-08","1.3","A",""
"5","16","2008-08","0.7","A",""
"5","17","2008-08","1.7","A",""
"5","18","2008-08","1","A",""
"5","20","2008-08","1.8","A",""
"6","Total","2008-08","1.5","A",""
"6","3","2008-08","1.8","A",""
"6","4","2008-08","0.7","A",""
"6","5","2008-08","1.1","A",""
"6","6","2008-08","0.9","A",""
"6","7","2008-08","1","A",""
"6","9","2008-08","1.7","A",""
"7","Total","2008-08","3.7","A",""
"7","21","2008-08","3.7","A",""
"Total","Total","2008-07","2.3","A",""
"1","Total","2008-07","3.9","A",""
"1","22","2008-07","3.6","A",""
"1","23","2008-07","2.3","A",""
"1","25","2008-07","5.5","A",""
"2","Total","2008-07","1.9","A",""
"2","2","2008-07","1.5","R",""
"2","10","2008-07","2.2","A",""
"2","11","2008-07","2.1","A",""
"2","24","2008-07","3","A",""
"2","26","2008-07","2.9","R",""
"3","Total","2008-07","2.2","A",""
"3","12","2008-07","2.9","A",""
"3","13","2008-07","2.1","A",""
"3","19","2008-07","2.1","A",""
"4","Total","2008-07","2.3","A",""
"4","1","2008-07","2.3","A",""
"5","Total","2008-07","1.5","A",""
"5","8","2008-07","1","A",""
"5","14","2008-07","1.7","A",""
"5","15","2008-07","1.3","A",""
"5","16","2008-07","0.6","A",""
"5","17","2008-07","1.7","A",""
"5","18","2008-07","0.9","A",""
"5","20","2008-07","1.8","A",""
"6","Total","2008-07","1.5","A",""
"6","3","2008-07","1.7","A",""
"6","4","2008-07","0.6","A",""
"6","5","2008-07","1","A",""
"6","6","2008-07","0.9","A",""
"6","7","2008-07","1","A",""
"6","9","2008-07","1.7","A",""
"7","Total","2008-07","3.6","A",""
"7","21","2008-07","3.6","A",""
"Total","Total","2008-06","2.3","A",""
"1","Total","2008-06","4","A",""
"1","22","2008-06","3.6","A",""
"1","23","2008-06","2.4","A",""
"1","25","2008-06","5.5","A",""
"2","Total","2008-06","1.8","A",""
"2","2","2008-06","1.4","R",""
"2","10","2008-06","2.1","A",""
"2","11","2008-06","2","A",""
"2","24","2008-06","3","A",""
"2","26","2008-06","2.7","R",""
"3","Total","2008-06","2.2","A",""
"3","12","2008-06","2.9","A",""
"3","13","2008-06","2.1","A",""
"3","19","2008-06","2.1","A",""
"4","Total","2008-06","2.2","A",""
"4","1","2008-06","2.2","A",""
"5","Total","2008-06","1.5","A",""
"5","8","2008-06","1.1","A",""
"5","14","2008-06","1.7","A",""
"5","15","2008-06","1.1","A",""
"5","16","2008-06","0.7","A",""
"5","17","2008-06","1.6","A",""
"5","18","2008-06","1","A",""
"5","20","2008-06","1.7","A",""
"6","Total","2008-06","1.5","A",""
"6","3","2008-06","1.8","A",""
"6","4","2008-06","0.7","A",""
"6","5","2008-06","1","A",""
"6","6","2008-06","1","A",""
"6","7","2008-06","1.1","A",""
"6","9","2008-06","1.6","A",""
"7","Total","2008-06","3.5","A",""
"7","21","2008-06","3.5","A",""
"Total","Total","2008-05","2.4","A",""
"1","Total","2008-05","4.1","A",""
"1","22","2008-05","3.6","A",""
"1","23","2008-05","2.8","A",""
"1","25","2008-05","5.6","A",""
"2","Total","2008-05","1.9","A",""
"2","2","2008-05","1.6","R",""
"2","10","2008-05","2.2","A",""
"2","11","2008-05","2.1","A",""
"2","24","2008-05","3.1","A",""
"2","26","2008-05","2.8","R",""
"3","Total","2008-05","2.3","A",""
"3","12","2008-05","2.8","A",""
"3","13","2008-05","2.1","A",""
"3","19","2008-05","2.2","A",""
"4","Total","2008-05","2.3","A",""
"4","1","2008-05","2.3","A",""
"5","Total","2008-05","1.6","A",""
"5","8","2008-05","1.2","A",""
"5","14","2008-05","1.9","A",""
"5","15","2008-05","1.2","A",""
"5","16","2008-05","0.7","A",""
"5","17","2008-05","1.7","A",""
"5","18","2008-05","1.4","A",""
"5","20","2008-05","1.8","A",""
"6","Total","2008-05","1.6","A",""
"6","3","2008-05","1.9","A",""
"6","4","2008-05","0.8","A",""
"6","5","2008-05","1.1","A",""
"6","6","2008-05","1.1","A",""
"6","7","2008-05","1.3","A",""
"6","9","2008-05","1.7","A",""
"7","Total","2008-05","3.6","A",""
"7","21","2008-05","3.6","A",""
"Total","Total","2008-04","2.6","A",""
"1","Total","2008-04","4.3","A",""
"1","22","2008-04","3.9","A",""
"1","23","2008-04","3.1","A",""
"1","25","2008-04","5.8","A",""
"2","Total","2008-04","2.1","A",""
"2","2","2008-04","1.7","R",""
"2","10","2008-04","2.4","A",""
"2","11","2008-04","2.3","A",""
"2","24","2008-04","3.3","A",""
"2","26","2008-04","2.9","R",""
"3","Total","2008-04","2.4","A",""
"3","12","2008-04","2.8","A",""
"3","13","2008-04","2.2","A",""
"3","19","2008-04","2.3","A",""
"4","Total","2008-04","2.4","A",""
"4","1","2008-04","2.4","A",""
"5","Total","2008-04","1.7","A",""
"5","8","2008-04","1.2","A",""
"5","14","2008-04","2.1","A",""
"5","15","2008-04","1.2","A",""
"5","16","2008-04","0.9","A",""
"5","17","2008-04","1.8","A",""
"5","18","2008-04","1.6","A",""
"5","20","2008-04","1.9","A",""
"6","Total","2008-04","1.7","A",""
"6","3","2008-04","2","A",""
"6","4","2008-04","0.8","A",""
"6","5","2008-04","1.2","A",""
"6","6","2008-04","1.2","A",""
"6","7","2008-04","1.3","A",""
"6","9","2008-04","1.8","A",""
"7","Total","2008-04","3.9","A",""
"7","21","2008-04","3.9","A",""
"Total","Total","2008-03","2.6","A",""
"1","Total","2008-03","4.4","A",""
"1","22","2008-03","4","A",""
"1","23","2008-03","3.1","A",""
"1","25","2008-03","5.8","A",""
"2","Total","2008-03","2.2","A",""
"2","2","2008-03","1.8","R",""
"2","10","2008-03","2.6","A",""
"2","11","2008-03","2.3","A",""
"2","24","2008-03","3.4","A",""
"2","26","2008-03","3","R",""
"3","Total","2008-03","2.4","A",""
"3","12","2008-03","3","A",""
"3","13","2008-03","2.2","A",""
"3","19","2008-03","2.4","A",""
