"CubeId";"rendoblim"
"PublishingDate";"2025-09-01 14:29"

"Date";"D0";"Value"
"1996-03";"10J";"4.406"
"1996-04";"5J";"3.228"
"1996-04";"10J";"4.329"
"1996-05";"5J";"3.762"
"1996-05";"10J";"4.682"
"1996-06";"5J";"3.813"
"1996-06";"10J";"4.627"
"1996-07";"5J";"3.695"
"1996-07";"10J";"4.561"
"1996-08";"5J";"3.527"
"1996-08";"10J";"4.467"
"1996-09";"5J";"3.237"
"1996-09";"10J";"4.256"
"1996-10";"5J";"3.084"
"1996-10";"10J";"4.166"
"1996-11";"5J";"3.211"
"1996-11";"10J";"4.191"
"1996-12";"5J";"3.056"
"1996-12";"10J";"4.125"
"1997-01";"5J";"2.922"
"1997-01";"10J";"3.959"
"1997-02";"5J";"2.501"
"1997-02";"10J";"3.517"
"1997-03";"5J";"2.811"
"1997-03";"10J";"3.853"
"1997-04";"5J";"2.688"
"1997-04";"10J";"3.769"
"1997-05";"5J";"2.547"
"1997-05";"10J";"3.586"
"1997-06";"5J";"2.484"
"1997-06";"10J";"3.522"
"1997-07";"5J";"2.582"
"1997-07";"10J";"3.585"
"1997-08";"5J";"2.74"
"1997-08";"10J";"3.692"
"1997-09";"5J";"2.822"
"1997-09";"10J";"3.704"
"1997-10";"5J";"2.948"
"1997-10";"10J";"3.719"
"1997-11";"5J";"2.879"
"1997-11";"10J";"3.692"
"1997-12";"5J";"2.614"
"1997-12";"10J";"3.445"
"1998-01";"5J";"2.256"
"1998-01";"10J";"3.084"
"1998-02";"5J";"2.084"
"1998-02";"10J";"2.964"
"1998-03";"5J";"2.313"
"1998-03";"10J";"3.109"
"1998-04";"5J";"2.585"
"1998-04";"10J";"3.344"
"1998-05";"5J";"2.461"
"1998-05";"10J";"3.179"
"1998-06";"5J";"2.608"
"1998-06";"10J";"3.308"
"1998-07";"5J";"2.499"
"1998-07";"10J";"3.19"
"1998-08";"5J";"2.25"
"1998-08";"10J";"2.988"
"1998-09";"5J";"2.115"
"1998-09";"10J";"3.086"
"1998-10";"5J";"1.934"
"1998-10";"10J";"2.914"
"1998-11";"5J";"1.935"
"1998-11";"10J";"2.659"
"1998-12";"5J";"1.946"
"1998-12";"10J";"2.71"
"1999-01";"5J";"1.831"
"1999-01";"10J";"2.555"
"1999-02";"5J";"1.854"
"1999-02";"10J";"2.55"
"1999-03";"5J";"1.875"
"1999-03";"10J";"2.604"
"1999-04";"5J";"1.819"
"1999-04";"10J";"2.534"
"1999-05";"5J";"1.976"
"1999-05";"10J";"2.72"
"1999-06";"5J";"2.398"
"1999-06";"10J";"2.937"
"1999-07";"5J";"2.528"
"1999-07";"10J";"3.044"
"1999-08";"5J";"2.708"
"1999-08";"10J";"3.169"
"1999-09";"5J";"2.944"
"1999-09";"10J";"3.427"
"1999-10";"5J";"3.196"
"1999-10";"10J";"3.625"
"1999-11";"5J";"3.083"
"1999-11";"10J";"3.69"
"1999-12";"5J";"2.986"
"1999-12";"10J";"3.617"
"2000-01";"5J";"3.302"
"2000-01";"10J";"3.784"
"2000-02";"5J";"3.45"
"2000-02";"10J";"3.868"
"2000-03";"5J";"3.729"
"2000-03";"10J";"4.155"
"2000-04";"5J";"3.849"
"2000-04";"10J";"4.076"
"2000-05";"5J";"3.931"
"2000-05";"10J";"4.19"
"2000-06";"5J";"3.799"
"2000-06";"10J";"4.008"
"2000-07";"5J";"3.841"
"2000-07";"10J";"3.976"
"2000-08";"5J";"3.684"
"2000-08";"10J";"3.84"
"2000-09";"5J";"3.702"
"2000-09";"10J";"3.954"
"2000-10";"5J";"3.672"
"2000-10";"10J";"3.927"
"2000-11";"5J";"3.583"
"2000-11";"10J";"3.771"
"2000-12";"5J";"3.271"
"2000-12";"10J";"3.552"
"2001-01";"5J";"3.193"
"2001-01";"10J";"3.497"
"2001-02";"5J";"3.169"
"2001-02";"10J";"3.492"
"2001-03";"5J";"3.044"
"2001-03";"10J";"3.327"
"2001-04";"5J";"3.239"
"2001-04";"10J";"3.529"
"2001-05";"5J";"3.262"
"2001-05";"10J";"3.556"
"2001-06";"5J";"3.127"
"2001-06";"10J";"3.383"
"2001-07";"5J";"3.067"
"2001-07";"10J";"3.357"
"2001-08";"5J";"3.003"
"2001-08";"10J";"3.317"
"2001-09";"5J";"2.824"
"2001-09";"10J";"3.302"
"2001-10";"5J";"2.535"
"2001-10";"10J";"3.005"
"2001-11";"5J";"2.792"
"2001-11";"10J";"3.261"
"2001-12";"5J";"3.089"
"2001-12";"10J";"3.555"
"2002-01";"5J";"3.225"
"2002-01";"10J";"3.59"
"2002-02";"5J";"3.13"
"2002-02";"10J";"3.61"
"2002-03";"5J";"3.227"
"2002-03";"10J";"3.636"
"2002-04";"5J";"3.035"
"2002-04";"10J";"3.528"
"2002-05";"5J";"2.915"
"2002-05";"10J";"3.465"
"2002-06";"5J";"2.727"
"2002-06";"10J";"3.299"
"2002-07";"5J";"2.494"
"2002-07";"10J";"3.248"
"2002-08";"5J";"2.368"
"2002-08";"10J";"3.192"
"2002-09";"5J";"1.989"
"2002-09";"10J";"2.761"
"2002-10";"5J";"1.994"
"2002-10";"10J";"2.863"
"2002-11";"5J";"1.966"
"2002-11";"10J";"2.799"
"2002-12";"5J";"1.547"
"2002-12";"10J";"2.396"
"2003-01";"5J";"1.538"
"2003-01";"10J";"2.396"
"2003-02";"5J";"1.442"
"2003-02";"10J";"2.375"
"2003-03";"5J";"1.59"
"2003-03";"10J";"2.537"
"2003-04";"5J";"1.738"
"2003-04";"10J";"2.659"
"2003-05";"5J";"1.425"
"2003-05";"10J";"2.358"
"2003-06";"5J";"1.609"
"2003-06";"10J";"2.607"
"2003-07";"5J";"1.715"
"2003-07";"10J";"2.666"
"2003-08";"5J";"1.963"
"2003-08";"10J";"2.875"
"2003-09";"5J";"1.813"
"2003-09";"10J";"2.777"
"2003-10";"5J";"2.017"
"2003-10";"10J";"2.882"
"2003-11";"5J";"2.179"
"2003-11";"10J";"2.993"
"2003-12";"5J";"2.003"
"2003-12";"10J";"2.78"
"2004-01";"5J";"1.877"
"2004-01";"10J";"2.852"
"2004-02";"5J";"1.67"
"2004-02";"10J";"2.681"
"2004-03";"5J";"1.688"
"2004-03";"10J";"2.632"
"2004-04";"5J";"2.046"
"2004-04";"10J";"2.809"
"2004-05";"5J";"2.164"
"2004-05";"10J";"2.888"
"2004-06";"5J";"2.361"
"2004-06";"10J";"3.04"
"2004-07";"5J";"2.242"
"2004-07";"10J";"2.957"
"2004-08";"5J";"2.019"
"2004-08";"10J";"2.825"
