"CubeId";"zimoma"
"PublishingDate";"2026-06-01 14:30"

"Date";"D0";"Value"
"1982-12";"SARON";
"1982-12";"3M0";
"1983-01";"SARON";
"1983-01";"3M0";
"1983-02";"SARON";
"1983-02";"3M0";
"1983-03";"SARON";
"1983-03";"3M0";
"1983-04";"SARON";
"1983-04";"3M0";
"1983-05";"SARON";
"1983-05";"3M0";
"1983-06";"SARON";
"1983-06";"3M0";
"1983-07";"SARON";
"1983-07";"3M0";
"1983-08";"SARON";
"1983-08";"3M0";
"1983-09";"SARON";
"1983-09";"3M0";
"1983-10";"SARON";
"1983-10";"3M0";
"1983-11";"SARON";
"1983-11";"3M0";
"1983-12";"SARON";
"1983-12";"3M0";
"1984-01";"SARON";
"1984-01";"3M0";
"1984-02";"SARON";
"1984-02";"3M0";
"1984-03";"SARON";
"1984-03";"3M0";
"1984-04";"SARON";
"1984-04";"3M0";
"1984-05";"SARON";
"1984-05";"3M0";
"1984-06";"SARON";
"1984-06";"3M0";
"1984-07";"SARON";
"1984-07";"3M0";
"1984-08";"SARON";
"1984-08";"3M0";
"1984-09";"SARON";
"1984-09";"3M0";
"1984-10";"SARON";
"1984-10";"3M0";
"1984-11";"SARON";
"1984-11";"3M0";
"1984-12";"SARON";
"1984-12";"3M0";
"1985-01";"SARON";
"1985-01";"3M0";
"1985-02";"SARON";
"1985-02";"3M0";
"1985-03";"SARON";
"1985-03";"3M0";
"1985-04";"SARON";
"1985-04";"3M0";
"1985-05";"SARON";
"1985-05";"3M0";
"1985-06";"SARON";
"1985-06";"3M0";
"1985-07";"SARON";
"1985-07";"3M0";
"1985-08";"SARON";
"1985-08";"3M0";
"1985-09";"SARON";
"1985-09";"3M0";
"1985-10";"SARON";
"1985-10";"3M0";
"1985-11";"SARON";
"1985-11";"3M0";
"1985-12";"SARON";
"1985-12";"3M0";
"1986-01";"SARON";
"1986-01";"3M0";
"1986-02";"SARON";
"1986-02";"3M0";
"1986-03";"SARON";
"1986-03";"3M0";
"1986-04";"SARON";
"1986-04";"3M0";
"1986-05";"SARON";
"1986-05";"3M0";
"1986-06";"SARON";
"1986-06";"3M0";
"1986-07";"SARON";
"1986-07";"3M0";
"1986-08";"SARON";
"1986-08";"3M0";
"1986-09";"SARON";
"1986-09";"3M0";
"1986-10";"SARON";
"1986-10";"3M0";
"1986-11";"SARON";
"1986-11";"3M0";
"1986-12";"SARON";
"1986-12";"3M0";
"1987-01";"SARON";
"1987-01";"3M0";
"1987-02";"SARON";
"1987-02";"3M0";
"1987-03";"SARON";
"1987-03";"3M0";
"1987-04";"SARON";
"1987-04";"3M0";
"1987-05";"SARON";
"1987-05";"3M0";
"1987-06";"SARON";
"1987-06";"3M0";
"1987-07";"SARON";
"1987-07";"3M0";
"1987-08";"SARON";
"1987-08";"3M0";
"1987-09";"SARON";
"1987-09";"3M0";
"1987-10";"SARON";
"1987-10";"3M0";
"1987-11";"SARON";
"1987-11";"3M0";
"1987-12";"SARON";
"1987-12";"3M0";
"1988-01";"SARON";
"1988-01";"3M0";
"1988-02";"SARON";
"1988-02";"3M0";
"1988-03";"SARON";
"1988-03";"3M0";
"1988-04";"SARON";
"1988-04";"3M0";
"1988-05";"SARON";
"1988-05";"3M0";
"1988-06";"SARON";
"1988-06";"3M0";
"1988-07";"SARON";
"1988-07";"3M0";
"1988-08";"SARON";
"1988-08";"3M0";
"1988-09";"SARON";
"1988-09";"3M0";
"1988-10";"SARON";
"1988-10";"3M0";
"1988-11";"SARON";
"1988-11";"3M0";
"1988-12";"SARON";
"1988-12";"3M0";
"1989-01";"SARON";
"1989-01";"3M0";"5.875"
"1989-02";"SARON";
"1989-02";"3M0";"6.125"
"1989-03";"SARON";
"1989-03";"3M0";"5.875"
"1989-04";"SARON";
"1989-04";"3M0";"6.625"
"1989-05";"SARON";
"1989-05";"3M0";"8.25"
"1989-06";"SARON";
"1989-06";"3M0";"7.5"
"1989-07";"SARON";
"1989-07";"3M0";"7"
"1989-08";"SARON";
"1989-08";"3M0";"7.5"
"1989-09";"SARON";
"1989-09";"3M0";"7.9375"
"1989-10";"SARON";
"1989-10";"3M0";"8"
"1989-11";"SARON";
"1989-11";"3M0";"7.9375"
"1989-12";"SARON";
"1989-12";"3M0";"9.1875"
"1990-01";"SARON";
"1990-01";"3M0";"9.6875"
"1990-02";"SARON";
"1990-02";"3M0";"9.3125"
"1990-03";"SARON";
"1990-03";"3M0";"9"
"1990-04";"SARON";
"1990-04";"3M0";"9.375"
"1990-05";"SARON";
"1990-05";"3M0";"8.8125"
"1990-06";"SARON";
"1990-06";"3M0";"9"
"1990-07";"SARON";
"1990-07";"3M0";"8.95313"
"1990-08";"SARON";
"1990-08";"3M0";"8.625"
"1990-09";"SARON";
"1990-09";"3M0";"8.25"
"1990-10";"SARON";
"1990-10";"3M0";"8.3125"
"1990-11";"SARON";
"1990-11";"3M0";"8.9375"
"1990-12";"SARON";
"1990-12";"3M0";"8.75"
"1991-01";"SARON";
"1991-01";"3M0";"8.125"
"1991-02";"SARON";
"1991-02";"3M0";"8.25"
"1991-03";"SARON";
"1991-03";"3M0";"8.625"
"1991-04";"SARON";
"1991-04";"3M0";"8.625"
"1991-05";"SARON";
"1991-05";"3M0";"8"
"1991-06";"SARON";
"1991-06";"3M0";"8"
"1991-07";"SARON";
"1991-07";"3M0";"7.9375"
"1991-08";"SARON";
"1991-08";"3M0";"8.0625"
"1991-09";"SARON";
"1991-09";"3M0";"8.25"
"1991-10";"SARON";
"1991-10";"3M0";"8.375"
"1991-11";"SARON";
"1991-11";"3M0";"8.125"
"1991-12";"SARON";
"1991-12";"3M0";"8.1875"
"1992-01";"SARON";
"1992-01";"3M0";"7.5"
"1992-02";"SARON";
"1992-02";"3M0";"7.6875"
