"CubeId";"devkum"
"PublishingDate";"2026-06-01 14:30"

"Date";"D0";"D1";"Value"
"1987-06";"M1";"EUR1";
"1987-07";"M1";"EUR1";
"1987-08";"M1";"EUR1";
"1987-09";"M1";"EUR1";
"1987-10";"M1";"EUR1";
"1987-11";"M1";"EUR1";
"1987-12";"M1";"EUR1";
"1988-01";"M1";"EUR1";
"1988-02";"M1";"EUR1";
"1988-03";"M1";"EUR1";
"1988-04";"M1";"EUR1";
"1988-05";"M1";"EUR1";
"1988-06";"M1";"EUR1";
"1988-07";"M1";"EUR1";
"1988-08";"M1";"EUR1";
"1988-09";"M1";"EUR1";
"1988-10";"M1";"EUR1";
"1988-11";"M1";"EUR1";
"1988-12";"M1";"EUR1";
"1989-01";"M1";"EUR1";
"1989-02";"M1";"EUR1";
"1989-03";"M1";"EUR1";
"1989-04";"M1";"EUR1";
"1989-05";"M1";"EUR1";
"1989-06";"M1";"EUR1";
"1989-07";"M1";"EUR1";
"1989-08";"M1";"EUR1";
"1989-09";"M1";"EUR1";
"1989-10";"M1";"EUR1";
"1989-11";"M1";"EUR1";
"1989-12";"M1";"EUR1";
"1990-01";"M1";"EUR1";
"1990-02";"M1";"EUR1";
"1990-03";"M1";"EUR1";
"1990-04";"M1";"EUR1";
"1990-05";"M1";"EUR1";
"1990-06";"M1";"EUR1";
"1990-07";"M1";"EUR1";
"1990-08";"M1";"EUR1";
"1990-09";"M1";"EUR1";
"1990-10";"M1";"EUR1";
"1990-11";"M1";"EUR1";
"1990-12";"M1";"EUR1";
"1991-01";"M1";"EUR1";
"1991-02";"M1";"EUR1";
"1991-03";"M1";"EUR1";
"1991-04";"M1";"EUR1";
"1991-05";"M1";"EUR1";
"1991-06";"M1";"EUR1";
"1991-07";"M1";"EUR1";
"1991-08";"M1";"EUR1";
"1991-09";"M1";"EUR1";
"1991-10";"M1";"EUR1";
"1991-11";"M1";"EUR1";
"1991-12";"M1";"EUR1";
"1992-01";"M1";"EUR1";
"1992-02";"M1";"EUR1";
"1992-03";"M1";"EUR1";
"1992-04";"M1";"EUR1";
"1992-05";"M1";"EUR1";
"1992-06";"M1";"EUR1";
"1992-07";"M1";"EUR1";
"1992-08";"M1";"EUR1";
"1992-09";"M1";"EUR1";
"1992-10";"M1";"EUR1";
"1992-11";"M1";"EUR1";
"1992-12";"M1";"EUR1";
"1993-01";"M1";"EUR1";
"1993-02";"M1";"EUR1";
"1993-03";"M1";"EUR1";
"1993-04";"M1";"EUR1";
"1993-05";"M1";"EUR1";
"1993-06";"M1";"EUR1";
"1993-07";"M1";"EUR1";
"1993-08";"M1";"EUR1";
"1993-09";"M1";"EUR1";
"1993-10";"M1";"EUR1";
"1993-11";"M1";"EUR1";
"1993-12";"M1";"EUR1";
"1994-01";"M1";"EUR1";
"1994-02";"M1";"EUR1";
"1994-03";"M1";"EUR1";
"1994-04";"M1";"EUR1";
"1994-05";"M1";"EUR1";
"1994-06";"M1";"EUR1";
"1994-07";"M1";"EUR1";
"1994-08";"M1";"EUR1";
"1994-09";"M1";"EUR1";
"1994-10";"M1";"EUR1";
"1994-11";"M1";"EUR1";
"1994-12";"M1";"EUR1";
"1995-01";"M1";"EUR1";
"1995-02";"M1";"EUR1";
"1995-03";"M1";"EUR1";
"1995-04";"M1";"EUR1";
"1995-05";"M1";"EUR1";
"1995-06";"M1";"EUR1";
"1995-07";"M1";"EUR1";
"1995-08";"M1";"EUR1";
"1995-09";"M1";"EUR1";
"1995-10";"M1";"EUR1";
"1995-11";"M1";"EUR1";
"1995-12";"M1";"EUR1";
"1996-01";"M1";"EUR1";
"1996-02";"M1";"EUR1";
"1996-03";"M1";"EUR1";
"1996-04";"M1";"EUR1";
"1996-05";"M1";"EUR1";
"1996-06";"M1";"EUR1";
"1996-07";"M1";"EUR1";
"1996-08";"M1";"EUR1";
"1996-09";"M1";"EUR1";
"1996-10";"M1";"EUR1";
"1996-11";"M1";"EUR1";
"1996-12";"M1";"EUR1";
"1997-01";"M1";"EUR1";
"1997-02";"M1";"EUR1";
"1997-03";"M1";"EUR1";
"1997-04";"M1";"EUR1";
"1997-05";"M1";"EUR1";
"1997-06";"M1";"EUR1";
"1997-07";"M1";"EUR1";
"1997-08";"M1";"EUR1";
"1997-09";"M1";"EUR1";
"1997-10";"M1";"EUR1";
"1997-11";"M1";"EUR1";
"1997-12";"M1";"EUR1";
"1998-01";"M1";"EUR1";
"1998-02";"M1";"EUR1";
"1998-03";"M1";"EUR1";
"1998-04";"M1";"EUR1";
"1998-05";"M1";"EUR1";
"1998-06";"M1";"EUR1";
"1998-07";"M1";"EUR1";
"1998-08";"M1";"EUR1";
"1998-09";"M1";"EUR1";
"1998-10";"M1";"EUR1";
"1998-11";"M1";"EUR1";
"1998-12";"M1";"EUR1";
"1999-01";"M1";"EUR1";"1.6131"
"1999-02";"M1";"EUR1";"1.5886"
"1999-03";"M1";"EUR1";"1.5967"
"1999-04";"M1";"EUR1";"1.6128"
"1999-05";"M1";"EUR1";"1.5935"
"1999-06";"M1";"EUR1";"1.6017"
"1999-07";"M1";"EUR1";"1.5961"
"1999-08";"M1";"EUR1";"1.6003"
"1999-09";"M1";"EUR1";"1.5978"
"1999-10";"M1";"EUR1";"1.6041"
"1999-11";"M1";"EUR1";"1.6024"
"1999-12";"M1";"EUR1";"1.6059"
"2000-01";"M1";"EUR1";"1.6093"
"2000-02";"M1";"EUR1";"1.6066"
"2000-03";"M1";"EUR1";"1.5918"
"2000-04";"M1";"EUR1";"1.5721"
"2000-05";"M1";"EUR1";"1.5701"
"2000-06";"M1";"EUR1";"1.5583"
"2000-07";"M1";"EUR1";"1.5483"
"2000-08";"M1";"EUR1";"1.5476"
"2000-09";"M1";"EUR1";"1.5245"
"2000-10";"M1";"EUR1";"1.5195"
"2000-11";"M1";"EUR1";"1.5066"
"2000-12";"M1";"EUR1";"1.5245"
"2001-01";"M1";"EUR1";"1.5271"
"2001-02";"M1";"EUR1";"1.54"
"2001-03";"M1";"EUR1";"1.5265"
"2001-04";"M1";"EUR1";"1.5371"
"2001-05";"M1";"EUR1";"1.5207"
"2001-06";"M1";"EUR1";"1.5214"
"2001-07";"M1";"EUR1";"1.5107"
"2001-08";"M1";"EUR1";"1.5159"
"2001-09";"M1";"EUR1";"1.4766"
"2001-10";"M1";"EUR1";"1.4692"
"2001-11";"M1";"EUR1";"1.4717"
"2001-12";"M1";"EUR1";"1.4813"
"2002-01";"M1";"EUR1";"1.4745"
"2002-02";"M1";"EUR1";"1.4766"
"2002-03";"M1";"EUR1";"1.4656"
"2002-04";"M1";"EUR1";"1.4636"
"2002-05";"M1";"EUR1";"1.4635"
"2002-06";"M1";"EUR1";"1.4725"
"2002-07";"M1";"EUR1";"1.4547"
"2002-08";"M1";"EUR1";"1.4688"
"2002-09";"M1";"EUR1";"1.4637"
"2002-10";"M1";"EUR1";"1.4627"
"2002-11";"M1";"EUR1";"1.4756"
"2002-12";"M1";"EUR1";"1.4525"
"2003-01";"M1";"EUR1";"1.4671"
"2003-02";"M1";"EUR1";"1.463"
"2003-03";"M1";"EUR1";"1.4765"
"2003-04";"M1";"EUR1";"1.5116"
"2003-05";"M1";"EUR1";"1.5292"
"2003-06";"M1";"EUR1";"1.5518"
"2003-07";"M1";"EUR1";"1.5479"
"2003-08";"M1";"EUR1";"1.5373"
"2003-09";"M1";"EUR1";"1.5383"
"2003-10";"M1";"EUR1";"1.5492"
"2003-11";"M1";"EUR1";"1.5485"
"2003-12";"M1";"EUR1";"1.5586"
"2004-01";"M1";"EUR1";"1.5612"
"2004-02";"M1";"EUR1";"1.5758"
"2004-03";"M1";"EUR1";"1.5588"
"2004-04";"M1";"EUR1";"1.5521"
"2004-05";"M1";"EUR1";"1.5301"
"2004-06";"M1";"EUR1";"1.5281"
"2004-07";"M1";"EUR1";"1.5399"
"2004-08";"M1";"EUR1";"1.5426"
"2004-09";"M1";"EUR1";"1.5535"
"2004-10";"M1";"EUR1";"1.5277"
"2004-11";"M1";"EUR1";"1.5141"
"2004-12";"M1";"EUR1";"1.5431"
"2005-01";"M1";"EUR1";"1.5493"
"2005-02";"M1";"EUR1";"1.5394"
"2005-03";"M1";"EUR1";"1.55"
"2005-04";"M1";"EUR1";"1.5372"
"2005-05";"M1";"EUR1";"1.5425"
"2005-06";"M1";"EUR1";"1.5489"
"2005-07";"M1";"EUR1";"1.5606"
"2005-08";"M1";"EUR1";"1.5497"
"2005-09";"M1";"EUR1";"1.5556"
"2005-10";"M1";"EUR1";"1.545"
"2005-11";"M1";"EUR1";"1.5482"
"2005-12";"M1";"EUR1";"1.5561"
"2006-01";"M1";"EUR1";"1.5538"
"2006-02";"M1";"EUR1";"1.5655"
"2006-03";"M1";"EUR1";"1.5796"
"2006-04";"M1";"EUR1";"1.5755"
"2006-05";"M1";"EUR1";"1.5582"
"2006-06";"M1";"EUR1";"1.5673"
"2006-07";"M1";"EUR1";"1.5726"
"2006-08";"M1";"EUR1";"1.576"
"2006-09";"M1";"EUR1";"1.5868"
"2006-10";"M1";"EUR1";"1.5881"
"2006-11";"M1";"EUR1";"1.5917"
"2006-12";"M1";"EUR1";"1.6059"
"2007-01";"M1";"EUR1";"1.6242"
"2007-02";"M1";"EUR1";"1.6128"
"2007-03";"M1";"EUR1";"1.6247"
"2007-04";"M1";"EUR1";"1.6435"
"2007-05";"M1";"EUR1";"1.647"
"2007-06";"M1";"EUR1";"1.6568"
"2007-07";"M1";"EUR1";"1.6504"
"2007-08";"M1";"EUR1";"1.6467"
"2007-09";"M1";"EUR1";"1.6594"
"2007-10";"M1";"EUR1";"1.6735"
"2007-11";"M1";"EUR1";"1.6522"
"2007-12";"M1";"EUR1";"1.6571"
"2008-01";"M1";"EUR1";"1.6066"
"2008-02";"M1";"EUR1";"1.5952"
"2008-03";"M1";"EUR1";"1.5698"
"2008-04";"M1";"EUR1";"1.6141"
"2008-05";"M1";"EUR1";"1.6275"
"2008-06";"M1";"EUR1";"1.6057"
"2008-07";"M1";"EUR1";"1.6345"
"2008-08";"M1";"EUR1";"1.6134"
"2008-09";"M1";"EUR1";"1.5781"
"2008-10";"M1";"EUR1";"1.4629"
"2008-11";"M1";"EUR1";"1.5478"
"2008-12";"M1";"EUR1";"1.4873"
"2009-01";"M1";"EUR1";"1.4866"
"2009-02";"M1";"EUR1";"1.4852"
"2009-03";"M1";"EUR1";"1.516"
"2009-04";"M1";"EUR1";"1.5103"
"2009-05";"M1";"EUR1";"1.5135"
"2009-06";"M1";"EUR1";"1.5241"
"2009-07";"M1";"EUR1";"1.5342"
"2009-08";"M1";"EUR1";"1.5162"
"2009-09";"M1";"EUR1";"1.5096"
"2009-10";"M1";"EUR1";"1.5102"
"2009-11";"M1";"EUR1";"1.5073"
"2009-12";"M1";"EUR1";"1.4844"
"2010-01";"M1";"EUR1";"1.4678"
"2010-02";"M1";"EUR1";"1.4633"
"2010-03";"M1";"EUR1";"1.4308"
"2010-04";"M1";"EUR1";"1.4348"
"2010-05";"M1";"EUR1";"1.4231"
"2010-06";"M1";"EUR1";"1.3225"
"2010-07";"M1";"EUR1";"1.3531"
"2010-08";"M1";"EUR1";"1.2936"
"2010-09";"M1";"EUR1";"1.3302"
"2010-10";"M1";"EUR1";"1.3687"
"2010-11";"M1";"EUR1";"1.2996"
"2010-12";"M1";"EUR1";"1.2507"
"2011-01";"M1";"EUR1";"1.2852"
"2011-02";"M1";"EUR1";"1.2806"
"2011-03";"M1";"EUR1";"1.29873"
"2011-04";"M1";"EUR1";"1.2899"
"2011-05";"M1";"EUR1";"1.226"
"2011-06";"M1";"EUR1";"1.208"
"2011-07";"M1";"EUR1";"1.1454"
"2011-08";"M1";"EUR1";"1.1722"
"2011-09";"M1";"EUR1";"1.21932"
"2011-10";"M1";"EUR1";"1.21964"
"2011-11";"M1";"EUR1";"1.226"
"2011-12";"M1";"EUR1";"1.2158"
"2012-01";"M1";"EUR1";"1.20571"
"2012-02";"M1";"EUR1";"1.20534"
"2012-03";"M1";"EUR1";"1.2048"
"2012-04";"M1";"EUR1";"1.20129"
"2012-05";"M1";"EUR1";"1.20105"
"2012-06";"M1";"EUR1";"1.20128"
"2012-07";"M1";"EUR1";"1.20105"
"2012-08";"M1";"EUR1";"1.20085"
"2012-09";"M1";"EUR1";"1.2098"
"2012-10";"M1";"EUR1";"1.20774"
"2012-11";"M1";"EUR1";"1.20443"
"2012-12";"M1";"EUR1";"1.2072"
"2013-01";"M1";"EUR1";"1.23542"
"2013-02";"M1";"EUR1";"1.22002"
"2013-03";"M1";"EUR1";"1.21708"
"2013-04";"M1";"EUR1";"1.2252"
"2013-05";"M1";"EUR1";"1.24137"
"2013-06";"M1";"EUR1";"1.23481"
"2013-07";"M1";"EUR1";"1.23092"
"2013-08";"M1";"EUR1";"1.23157"
"2013-09";"M1";"EUR1";"1.2223"
"2013-10";"M1";"EUR1";"1.2331"
"2013-11";"M1";"EUR1";"1.23227"
"2013-12";"M1";"EUR1";"1.2264"
"2014-01";"M1";"EUR1";"1.22314"
"2014-02";"M1";"EUR1";"1.21603"
"2014-03";"M1";"EUR1";"1.21993"
"2014-04";"M1";"EUR1";"1.21947"
"2014-05";"M1";"EUR1";"1.22099"
"2014-06";"M1";"EUR1";"1.21507"
"2014-07";"M1";"EUR1";"1.21652"
"2014-08";"M1";"EUR1";"1.20607"
"2014-09";"M1";"EUR1";"1.20652"
"2014-10";"M1";"EUR1";"1.20588"
"2014-11";"M1";"EUR1";"1.20182"
"2014-12";"M1";"EUR1";"1.20253"
"2015-01";"M1";"EUR1";"1.04424"
"2015-02";"M1";"EUR1";"1.06676"
"2015-03";"M1";"EUR1";"1.04547"
"2015-04";"M1";"EUR1";"1.04929"
"2015-05";"M1";"EUR1";"1.03424"
"2015-06";"M1";"EUR1";"1.03768"
"2015-07";"M1";"EUR1";"1.05362"
"2015-08";"M1";"EUR1";"1.0793"
"2015-09";"M1";"EUR1";"1.09255"
