Division économique,Taux d'occupation,Sexe,Trimestre,"Emplois selon la division économique, le taux d'occupation et le sexe"
5-96 Total,Taux d'occupation - total,Sexe - total,1991Q3,4189382
5-96 Total,Taux d'occupation - total,Sexe - total,1991Q4,4102129
5-96 Total,Taux d'occupation - total,Sexe - total,1992Q1,4110155
5-96 Total,Taux d'occupation - total,Sexe - total,1992Q2,4131880
5-96 Total,Taux d'occupation - total,Sexe - total,1992Q3,4083002
5-96 Total,Taux d'occupation - total,Sexe - total,1992Q4,3967781
5-96 Total,Taux d'occupation - total,Sexe - total,1993Q1,3932890
5-96 Total,Taux d'occupation - total,Sexe - total,1993Q2,4005381
5-96 Total,Taux d'occupation - total,Sexe - total,1993Q3,3990036
5-96 Total,Taux d'occupation - total,Sexe - total,1993Q4,3930425
5-96 Total,Taux d'occupation - total,Sexe - total,1994Q1,3902415
5-96 Total,Taux d'occupation - total,Sexe - total,1994Q2,3915090
5-96 Total,Taux d'occupation - total,Sexe - total,1994Q3,3972066
5-96 Total,Taux d'occupation - total,Sexe - total,1994Q4,3928851
5-96 Total,Taux d'occupation - total,Sexe - total,1995Q1,3938711
5-96 Total,Taux d'occupation - total,Sexe - total,1995Q2,3942750
5-96 Total,Taux d'occupation - total,Sexe - total,1995Q3,3957710
5-96 Total,Taux d'occupation - total,Sexe - total,1995Q4,3906925
5-96 Total,Taux d'occupation - total,Sexe - total,1996Q1,3888136
5-96 Total,Taux d'occupation - total,Sexe - total,1996Q2,3909793
5-96 Total,Taux d'occupation - total,Sexe - total,1996Q3,3898628
5-96 Total,Taux d'occupation - total,Sexe - total,1996Q4,3852869
5-96 Total,Taux d'occupation - total,Sexe - total,1997Q1,3841043
5-96 Total,Taux d'occupation - total,Sexe - total,1997Q2,3857746
5-96 Total,Taux d'occupation - total,Sexe - total,1997Q3,3884424
5-96 Total,Taux d'occupation - total,Sexe - total,1997Q4,3849158
5-96 Total,Taux d'occupation - total,Sexe - total,1998Q1,3859363
5-96 Total,Taux d'occupation - total,Sexe - total,1998Q2,3901885
5-96 Total,Taux d'occupation - total,Sexe - total,1998Q3,3919615
5-96 Total,Taux d'occupation - total,Sexe - total,1998Q4,3895956
5-96 Total,Taux d'occupation - total,Sexe - total,1999Q1,3911130
5-96 Total,Taux d'occupation - total,Sexe - total,1999Q2,3964335
5-96 Total,Taux d'occupation - total,Sexe - total,1999Q3,4002812
5-96 Total,Taux d'occupation - total,Sexe - total,1999Q4,4008445
5-96 Total,Taux d'occupation - total,Sexe - total,2000Q1,4033439
5-96 Total,Taux d'occupation - total,Sexe - total,2000Q2,4084757
5-96 Total,Taux d'occupation - total,Sexe - total,2000Q3,4107383
5-96 Total,Taux d'occupation - total,Sexe - total,2000Q4,4105797
5-96 Total,Taux d'occupation - total,Sexe - total,2001Q1,4123076
5-96 Total,Taux d'occupation - total,Sexe - total,2001Q2,4140748
5-96 Total,Taux d'occupation - total,Sexe - total,2001Q3,4167660
5-96 Total,Taux d'occupation - total,Sexe - total,2001Q4,4140296
5-96 Total,Taux d'occupation - total,Sexe - total,2002Q1,4133916
5-96 Total,Taux d'occupation - total,Sexe - total,2002Q2,4148417
5-96 Total,Taux d'occupation - total,Sexe - total,2002Q3,4185770
5-96 Total,Taux d'occupation - total,Sexe - total,2002Q4,4128724
5-96 Total,Taux d'occupation - total,Sexe - total,2003Q1,4109279
5-96 Total,Taux d'occupation - total,Sexe - total,2003Q2,4130190
5-96 Total,Taux d'occupation - total,Sexe - total,2003Q3,4148146
5-96 Total,Taux d'occupation - total,Sexe - total,2003Q4,4133841
5-96 Total,Taux d'occupation - total,Sexe - total,2004Q1,4130897
5-96 Total,Taux d'occupation - total,Sexe - total,2004Q2,4156087
5-96 Total,Taux d'occupation - total,Sexe - total,2004Q3,4178110
5-96 Total,Taux d'occupation - total,Sexe - total,2004Q4,4154507
5-96 Total,Taux d'occupation - total,Sexe - total,2005Q1,4142735
5-96 Total,Taux d'occupation - total,Homme,1991Q3,2479318
5-96 Total,Taux d'occupation - total,Homme,1991Q4,2397866
5-96 Total,Taux d'occupation - total,Homme,1992Q1,2411046
5-96 Total,Taux d'occupation - total,Homme,1992Q2,2434987
5-96 Total,Taux d'occupation - total,Homme,1992Q3,2410037
5-96 Total,Taux d'occupation - total,Homme,1992Q4,2329105
5-96 Total,Taux d'occupation - total,Homme,1993Q1,2300333
5-96 Total,Taux d'occupation - total,Homme,1993Q2,2360850
5-96 Total,Taux d'occupation - total,Homme,1993Q3,2351489
5-96 Total,Taux d'occupation - total,Homme,1993Q4,2301747
5-96 Total,Taux d'occupation - total,Homme,1994Q1,2287496
5-96 Total,Taux d'occupation - total,Homme,1994Q2,2305612
5-96 Total,Taux d'occupation - total,Homme,1994Q3,2333322
5-96 Total,Taux d'occupation - total,Homme,1994Q4,2298364
5-96 Total,Taux d'occupation - total,Homme,1995Q1,2298898
5-96 Total,Taux d'occupation - total,Homme,1995Q2,2306352
5-96 Total,Taux d'occupation - total,Homme,1995Q3,2316503
5-96 Total,Taux d'occupation - total,Homme,1995Q4,2274696
5-96 Total,Taux d'occupation - total,Homme,1996Q1,2266791
5-96 Total,Taux d'occupation - total,Homme,1996Q2,2279600
5-96 Total,Taux d'occupation - total,Homme,1996Q3,2280014
5-96 Total,Taux d'occupation - total,Homme,1996Q4,2229598
5-96 Total,Taux d'occupation - total,Homme,1997Q1,2219767
5-96 Total,Taux d'occupation - total,Homme,1997Q2,2228398
5-96 Total,Taux d'occupation - total,Homme,1997Q3,2244690
5-96 Total,Taux d'occupation - total,Homme,1997Q4,2218885
5-96 Total,Taux d'occupation - total,Homme,1998Q1,2222201
5-96 Total,Taux d'occupation - total,Homme,1998Q2,2259915
5-96 Total,Taux d'occupation - total,Homme,1998Q3,2267460
5-96 Total,Taux d'occupation - total,Homme,1998Q4,2238866
5-96 Total,Taux d'occupation - total,Homme,1999Q1,2243778
5-96 Total,Taux d'occupation - total,Homme,1999Q2,2279254
5-96 Total,Taux d'occupation - total,Homme,1999Q3,2292796
5-96 Total,Taux d'occupation - total,Homme,1999Q4,2284501
5-96 Total,Taux d'occupation - total,Homme,2000Q1,2294092
5-96 Total,Taux d'occupation - total,Homme,2000Q2,2323160
5-96 Total,Taux d'occupation - total,Homme,2000Q3,2332701
5-96 Total,Taux d'occupation - total,Homme,2000Q4,2322299
5-96 Total,Taux d'occupation - total,Homme,2001Q1,2334331
5-96 Total,Taux d'occupation - total,Homme,2001Q2,2355789
5-96 Total,Taux d'occupation - total,Homme,2001Q3,2368923
5-96 Total,Taux d'occupation - total,Homme,2001Q4,2349254
5-96 Total,Taux d'occupation - total,Homme,2002Q1,2339474
5-96 Total,Taux d'occupation - total,Homme,2002Q2,2356210
5-96 Total,Taux d'occupation - total,Homme,2002Q3,2373506
5-96 Total,Taux d'occupation - total,Homme,2002Q4,2341350
5-96 Total,Taux d'occupation - total,Homme,2003Q1,2327761
5-96 Total,Taux d'occupation - total,Homme,2003Q2,2338451
5-96 Total,Taux d'occupation - total,Homme,2003Q3,2337215
5-96 Total,Taux d'occupation - total,Homme,2003Q4,2322106
5-96 Total,Taux d'occupation - total,Homme,2004Q1,2314580
5-96 Total,Taux d'occupation - total,Homme,2004Q2,2330955
5-96 Total,Taux d'occupation - total,Homme,2004Q3,2348206
5-96 Total,Taux d'occupation - total,Homme,2004Q4,2328014
5-96 Total,Taux d'occupation - total,Homme,2005Q1,2321100
5-96 Total,Taux d'occupation - total,Femme,1991Q3,1710065
5-96 Total,Taux d'occupation - total,Femme,1991Q4,1704262
5-96 Total,Taux d'occupation - total,Femme,1992Q1,1699109
5-96 Total,Taux d'occupation - total,Femme,1992Q2,1696893
5-96 Total,Taux d'occupation - total,Femme,1992Q3,1672964
5-96 Total,Taux d'occupation - total,Femme,1992Q4,1638676
5-96 Total,Taux d'occupation - total,Femme,1993Q1,1632557
5-96 Total,Taux d'occupation - total,Femme,1993Q2,1644531
5-96 Total,Taux d'occupation - total,Femme,1993Q3,1638547
5-96 Total,Taux d'occupation - total,Femme,1993Q4,1628678
5-96 Total,Taux d'occupation - total,Femme,1994Q1,1614919
5-96 Total,Taux d'occupation - total,Femme,1994Q2,1609478
5-96 Total,Taux d'occupation - total,Femme,1994Q3,1638744
5-96 Total,Taux d'occupation - total,Femme,1994Q4,1630487
5-96 Total,Taux d'occupation - total,Femme,1995Q1,1639813
5-96 Total,Taux d'occupation - total,Femme,1995Q2,1636398
5-96 Total,Taux d'occupation - total,Femme,1995Q3,1641207
5-96 Total,Taux d'occupation - total,Femme,1995Q4,1632229
5-96 Total,Taux d'occupation - total,Femme,1996Q1,1621345
5-96 Total,Taux d'occupation - total,Femme,1996Q2,1630193
5-96 Total,Taux d'occupation - total,Femme,1996Q3,1618614
5-96 Total,Taux d'occupation - total,Femme,1996Q4,1623271
5-96 Total,Taux d'occupation - total,Femme,1997Q1,1621276
5-96 Total,Taux d'occupation - total,Femme,1997Q2,1629348
5-96 Total,Taux d'occupation - total,Femme,1997Q3,1639734
5-96 Total,Taux d'occupation - total,Femme,1997Q4,1630274
5-96 Total,Taux d'occupation - total,Femme,1998Q1,1637161
5-96 Total,Taux d'occupation - total,Femme,1998Q2,1641971
5-96 Total,Taux d'occupation - total,Femme,1998Q3,1652155
5-96 Total,Taux d'occupation - total,Femme,1998Q4,1657090
5-96 Total,Taux d'occupation - total,Femme,1999Q1,1667353
5-96 Total,Taux d'occupation - total,Femme,1999Q2,1685082
5-96 Total,Taux d'occupation - total,Femme,1999Q3,1710016
5-96 Total,Taux d'occupation - total,Femme,1999Q4,1723944
5-96 Total,Taux d'occupation - total,Femme,2000Q1,1739346
5-96 Total,Taux d'occupation - total,Femme,2000Q2,1761597
5-96 Total,Taux d'occupation - total,Femme,2000Q3,1774681
5-96 Total,Taux d'occupation - total,Femme,2000Q4,1783499
5-96 Total,Taux d'occupation - total,Femme,2001Q1,1788744
5-96 Total,Taux d'occupation - total,Femme,2001Q2,1784958
5-96 Total,Taux d'occupation - total,Femme,2001Q3,1798737
5-96 Total,Taux d'occupation - total,Femme,2001Q4,1791042
5-96 Total,Taux d'occupation - total,Femme,2002Q1,1794442
5-96 Total,Taux d'occupation - total,Femme,2002Q2,1792206
5-96 Total,Taux d'occupation - total,Femme,2002Q3,1812264
5-96 Total,Taux d'occupation - total,Femme,2002Q4,1787374
5-96 Total,Taux d'occupation - total,Femme,2003Q1,1781517
5-96 Total,Taux d'occupation - total,Femme,2003Q2,1791739
5-96 Total,Taux d'occupation - total,Femme,2003Q3,1810931
5-96 Total,Taux d'occupation - total,Femme,2003Q4,1811736
5-96 Total,Taux d'occupation - total,Femme,2004Q1,1816317
5-96 Total,Taux d'occupation - total,Femme,2004Q2,1825131
5-96 Total,Taux d'occupation - total,Femme,2004Q3,1829903
5-96 Total,Taux d'occupation - total,Femme,2004Q4,1826492
5-96 Total,Taux d'occupation - total,Femme,2005Q1,1821635
5-96 Total,Plein temps,Sexe - total,1991Q3,2997420
5-96 Total,Plein temps,Sexe - total,1991Q4,2910588
5-96 Total,Plein temps,Sexe - total,1992Q1,2919606
5-96 Total,Plein temps,Sexe - total,1992Q2,2930484
5-96 Total,Plein temps,Sexe - total,1992Q3,2897511
5-96 Total,Plein temps,Sexe - total,1992Q4,2818554
5-96 Total,Plein temps,Sexe - total,1993Q1,2793907
5-96 Total,Plein temps,Sexe - total,1993Q2,2842184
5-96 Total,Plein temps,Sexe - total,1993Q3,2840407
5-96 Total,Plein temps,Sexe - total,1993Q4,2781013
5-96 Total,Plein temps,Sexe - total,1994Q1,2764885
5-96 Total,Plein temps,Sexe - total,1994Q2,2774878
5-96 Total,Plein temps,Sexe - total,1994Q3,2812612
5-96 Total,Plein temps,Sexe - total,1994Q4,2772146
5-96 Total,Plein temps,Sexe - total,1995Q1,2766486
5-96 Total,Plein temps,Sexe - total,1995Q2,2770523
5-96 Total,Plein temps,Sexe - total,1995Q3,2793311
5-96 Total,Plein temps,Sexe - total,1995Q4,2739846
5-96 Total,Plein temps,Sexe - total,1996Q1,2721556
5-96 Total,Plein temps,Sexe - total,1996Q2,2722204
5-96 Total,Plein temps,Sexe - total,1996Q3,2717472
5-96 Total,Plein temps,Sexe - total,1996Q4,2668358
5-96 Total,Plein temps,Sexe - total,1997Q1,2656301
5-96 Total,Plein temps,Sexe - total,1997Q2,2666815
5-96 Total,Plein temps,Sexe - total,1997Q3,2679530
5-96 Total,Plein temps,Sexe - total,1997Q4,2640305
5-96 Total,Plein temps,Sexe - total,1998Q1,2640247
5-96 Total,Plein temps,Sexe - total,1998Q2,2663559
5-96 Total,Plein temps,Sexe - total,1998Q3,2677728
5-96 Total,Plein temps,Sexe - total,1998Q4,2639349
5-96 Total,Plein temps,Sexe - total,1999Q1,2632929
5-96 Total,Plein temps,Sexe - total,1999Q2,2655957
5-96 Total,Plein temps,Sexe - total,1999Q3,2676969
5-96 Total,Plein temps,Sexe - total,1999Q4,2659467
5-96 Total,Plein temps,Sexe - total,2000Q1,2660136
5-96 Total,Plein temps,Sexe - total,2000Q2,2697234
5-96 Total,Plein temps,Sexe - total,2000Q3,2726920
5-96 Total,Plein temps,Sexe - total,2000Q4,2710345
5-96 Total,Plein temps,Sexe - total,2001Q1,2725355
5-96 Total,Plein temps,Sexe - total,2001Q2,2751613
5-96 Total,Plein temps,Sexe - total,2001Q3,2775405
5-96 Total,Plein temps,Sexe - total,2001Q4,2740720
5-96 Total,Plein temps,Sexe - total,2002Q1,2726991
5-96 Total,Plein temps,Sexe - total,2002Q2,2739916
5-96 Total,Plein temps,Sexe - total,2002Q3,2759236
5-96 Total,Plein temps,Sexe - total,2002Q4,2714484
5-96 Total,Plein temps,Sexe - total,2003Q1,2689675
5-96 Total,Plein temps,Sexe - total,2003Q2,2694887
5-96 Total,Plein temps,Sexe - total,2003Q3,2697365
5-96 Total,Plein temps,Sexe - total,2003Q4,2677948
5-96 Total,Plein temps,Sexe - total,2004Q1,2671649
5-96 Total,Plein temps,Sexe - total,2004Q2,2681274
5-96 Total,Plein temps,Sexe - total,2004Q3,2701107
5-96 Total,Plein temps,Sexe - total,2004Q4,2670530
5-96 Total,Plein temps,Sexe - total,2005Q1,2664275
5-96 Total,Plein temps,Homme,1991Q3,2123101
5-96 Total,Plein temps,Homme,1991Q4,2044998
5-96 Total,Plein temps,Homme,1992Q1,2060544
5-96 Total,Plein temps,Homme,1992Q2,2073683
5-96 Total,Plein temps,Homme,1992Q3,2054809
5-96 Total,Plein temps,Homme,1992Q4,1986527
5-96 Total,Plein temps,Homme,1993Q1,1969156
5-96 Total,Plein temps,Homme,1993Q2,2013858
5-96 Total,Plein temps,Homme,1993Q3,2012666
5-96 Total,Plein temps,Homme,1993Q4,1964131
5-96 Total,Plein temps,Homme,1994Q1,1954405
5-96 Total,Plein temps,Homme,1994Q2,1966110
5-96 Total,Plein temps,Homme,1994Q3,1990562
5-96 Total,Plein temps,Homme,1994Q4,1957459
5-96 Total,Plein temps,Homme,1995Q1,1954229
5-96 Total,Plein temps,Homme,1995Q2,1962952
5-96 Total,Plein temps,Homme,1995Q3,1977653
5-96 Total,Plein temps,Homme,1995Q4,1936452
5-96 Total,Plein temps,Homme,1996Q1,1923766
5-96 Total,Plein temps,Homme,1996Q2,1932036
5-96 Total,Plein temps,Homme,1996Q3,1926461
5-96 Total,Plein temps,Homme,1996Q4,1885033
5-96 Total,Plein temps,Homme,1997Q1,1874640
5-96 Total,Plein temps,Homme,1997Q2,1883075
5-96 Total,Plein temps,Homme,1997Q3,1890380
5-96 Total,Plein temps,Homme,1997Q4,1862991
5-96 Total,Plein temps,Homme,1998Q1,1864880
5-96 Total,Plein temps,Homme,1998Q2,1890012
5-96 Total,Plein temps,Homme,1998Q3,1900851
5-96 Total,Plein temps,Homme,1998Q4,1866653
5-96 Total,Plein temps,Homme,1999Q1,1866870
5-96 Total,Plein temps,Homme,1999Q2,1895001
5-96 Total,Plein temps,Homme,1999Q3,1904429
5-96 Total,Plein temps,Homme,1999Q4,1887642
5-96 Total,Plein temps,Homme,2000Q1,1889836
5-96 Total,Plein temps,Homme,2000Q2,1915247
5-96 Total,Plein temps,Homme,2000Q3,1931863
5-96 Total,Plein temps,Homme,2000Q4,1915906
5-96 Total,Plein temps,Homme,2001Q1,1930275
5-96 Total,Plein temps,Homme,2001Q2,1951657
5-96 Total,Plein temps,Homme,2001Q3,1961261
5-96 Total,Plein temps,Homme,2001Q4,1940373
5-96 Total,Plein temps,Homme,2002Q1,1928912
5-96 Total,Plein temps,Homme,2002Q2,1945994
5-96 Total,Plein temps,Homme,2002Q3,1958798
5-96 Total,Plein temps,Homme,2002Q4,1931198
5-96 Total,Plein temps,Homme,2003Q1,1916338
5-96 Total,Plein temps,Homme,2003Q2,1922269
5-96 Total,Plein temps,Homme,2003Q3,1919621
5-96 Total,Plein temps,Homme,2003Q4,1901900
5-96 Total,Plein temps,Homme,2004Q1,1899292
5-96 Total,Plein temps,Homme,2004Q2,1907770
5-96 Total,Plein temps,Homme,2004Q3,1922506
5-96 Total,Plein temps,Homme,2004Q4,1898444
5-96 Total,Plein temps,Homme,2005Q1,1894313
5-96 Total,Plein temps,Femme,1991Q3,874319
5-96 Total,Plein temps,Femme,1991Q4,865591
5-96 Total,Plein temps,Femme,1992Q1,859061
5-96 Total,Plein temps,Femme,1992Q2,856801
5-96 Total,Plein temps,Femme,1992Q3,842702
5-96 Total,Plein temps,Femme,1992Q4,832027
5-96 Total,Plein temps,Femme,1993Q1,824751
5-96 Total,Plein temps,Femme,1993Q2,828326
5-96 Total,Plein temps,Femme,1993Q3,827741
5-96 Total,Plein temps,Femme,1993Q4,816882
5-96 Total,Plein temps,Femme,1994Q1,810480
5-96 Total,Plein temps,Femme,1994Q2,808769
5-96 Total,Plein temps,Femme,1994Q3,822051
5-96 Total,Plein temps,Femme,1994Q4,814687
5-96 Total,Plein temps,Femme,1995Q1,812257
5-96 Total,Plein temps,Femme,1995Q2,807571
5-96 Total,Plein temps,Femme,1995Q3,815658
5-96 Total,Plein temps,Femme,1995Q4,803394
5-96 Total,Plein temps,Femme,1996Q1,797790
5-96 Total,Plein temps,Femme,1996Q2,790168
5-96 Total,Plein temps,Femme,1996Q3,791011
5-96 Total,Plein temps,Femme,1996Q4,783325
5-96 Total,Plein temps,Femme,1997Q1,781662
5-96 Total,Plein temps,Femme,1997Q2,783740
5-96 Total,Plein temps,Femme,1997Q3,789150
5-96 Total,Plein temps,Femme,1997Q4,777314
5-96 Total,Plein temps,Femme,1998Q1,775367
5-96 Total,Plein temps,Femme,1998Q2,773547
5-96 Total,Plein temps,Femme,1998Q3,776876
5-96 Total,Plein temps,Femme,1998Q4,772696
5-96 Total,Plein temps,Femme,1999Q1,766059
5-96 Total,Plein temps,Femme,1999Q2,760956
5-96 Total,Plein temps,Femme,1999Q3,772540
5-96 Total,Plein temps,Femme,1999Q4,771825
5-96 Total,Plein temps,Femme,2000Q1,770301
5-96 Total,Plein temps,Femme,2000Q2,781987
5-96 Total,Plein temps,Femme,2000Q3,795057
5-96 Total,Plein temps,Femme,2000Q4,794440
5-96 Total,Plein temps,Femme,2001Q1,795080
5-96 Total,Plein temps,Femme,2001Q2,799957
5-96 Total,Plein temps,Femme,2001Q3,814144
5-96 Total,Plein temps,Femme,2001Q4,800347
5-96 Total,Plein temps,Femme,2002Q1,798080
5-96 Total,Plein temps,Femme,2002Q2,793922
5-96 Total,Plein temps,Femme,2002Q3,800438
5-96 Total,Plein temps,Femme,2002Q4,783286
5-96 Total,Plein temps,Femme,2003Q1,773337
5-96 Total,Plein temps,Femme,2003Q2,772618
5-96 Total,Plein temps,Femme,2003Q3,777744
5-96 Total,Plein temps,Femme,2003Q4,776048
5-96 Total,Plein temps,Femme,2004Q1,772357
5-96 Total,Plein temps,Femme,2004Q2,773504
5-96 Total,Plein temps,Femme,2004Q3,778602
5-96 Total,Plein temps,Femme,2004Q4,772086
5-96 Total,Plein temps,Femme,2005Q1,769962
5-96 Total,Temps partiel,Sexe - total,1991Q3,1191962
5-96 Total,Temps partiel,Sexe - total,1991Q4,1191540
5-96 Total,Temps partiel,Sexe - total,1992Q1,1190549
5-96 Total,Temps partiel,Sexe - total,1992Q2,1201397
5-96 Total,Temps partiel,Sexe - total,1992Q3,1185491
5-96 Total,Temps partiel,Sexe - total,1992Q4,1149227
5-96 Total,Temps partiel,Sexe - total,1993Q1,1138983
5-96 Total,Temps partiel,Sexe - total,1993Q2,1163197
5-96 Total,Temps partiel,Sexe - total,1993Q3,1149629
5-96 Total,Temps partiel,Sexe - total,1993Q4,1149412
5-96 Total,Temps partiel,Sexe - total,1994Q1,1137530
5-96 Total,Temps partiel,Sexe - total,1994Q2,1140211
5-96 Total,Temps partiel,Sexe - total,1994Q3,1159453
5-96 Total,Temps partiel,Sexe - total,1994Q4,1156705
5-96 Total,Temps partiel,Sexe - total,1995Q1,1172225
5-96 Total,Temps partiel,Sexe - total,1995Q2,1172227
5-96 Total,Temps partiel,Sexe - total,1995Q3,1164398
5-96 Total,Temps partiel,Sexe - total,1995Q4,1167079
5-96 Total,Temps partiel,Sexe - total,1996Q1,1166580
5-96 Total,Temps partiel,Sexe - total,1996Q2,1187589
5-96 Total,Temps partiel,Sexe - total,1996Q3,1181157
5-96 Total,Temps partiel,Sexe - total,1996Q4,1184511
5-96 Total,Temps partiel,Sexe - total,1997Q1,1184741
5-96 Total,Temps partiel,Sexe - total,1997Q2,1190931
5-96 Total,Temps partiel,Sexe - total,1997Q3,1204894
5-96 Total,Temps partiel,Sexe - total,1997Q4,1208853
5-96 Total,Temps partiel,Sexe - total,1998Q1,1219116
5-96 Total,Temps partiel,Sexe - total,1998Q2,1238326
5-96 Total,Temps partiel,Sexe - total,1998Q3,1241887
5-96 Total,Temps partiel,Sexe - total,1998Q4,1256607
5-96 Total,Temps partiel,Sexe - total,1999Q1,1278201
5-96 Total,Temps partiel,Sexe - total,1999Q2,1308378
5-96 Total,Temps partiel,Sexe - total,1999Q3,1325843
5-96 Total,Temps partiel,Sexe - total,1999Q4,1348978
5-96 Total,Temps partiel,Sexe - total,2000Q1,1373302
5-96 Total,Temps partiel,Sexe - total,2000Q2,1387522
5-96 Total,Temps partiel,Sexe - total,2000Q3,1380463
5-96 Total,Temps partiel,Sexe - total,2000Q4,1395452
5-96 Total,Temps partiel,Sexe - total,2001Q1,1397720
5-96 Total,Temps partiel,Sexe - total,2001Q2,1389134
5-96 Total,Temps partiel,Sexe - total,2001Q3,1392255
5-96 Total,Temps partiel,Sexe - total,2001Q4,1399576
5-96 Total,Temps partiel,Sexe - total,2002Q1,1406925
5-96 Total,Temps partiel,Sexe - total,2002Q2,1408500
5-96 Total,Temps partiel,Sexe - total,2002Q3,1426533
5-96 Total,Temps partiel,Sexe - total,2002Q4,1414240
5-96 Total,Temps partiel,Sexe - total,2003Q1,1419603
5-96 Total,Temps partiel,Sexe - total,2003Q2,1435303
5-96 Total,Temps partiel,Sexe - total,2003Q3,1450781
5-96 Total,Temps partiel,Sexe - total,2003Q4,1455893
5-96 Total,Temps partiel,Sexe - total,2004Q1,1459248
5-96 Total,Temps partiel,Sexe - total,2004Q2,1474812
5-96 Total,Temps partiel,Sexe - total,2004Q3,1477002
5-96 Total,Temps partiel,Sexe - total,2004Q4,1483977
5-96 Total,Temps partiel,Sexe - total,2005Q1,1478460
5-96 Total,Temps partiel,Homme,1991Q3,356216
5-96 Total,Temps partiel,Homme,1991Q4,352868
5-96 Total,Temps partiel,Homme,1992Q1,350501
5-96 Total,Temps partiel,Homme,1992Q2,361304
5-96 Total,Temps partiel,Homme,1992Q3,355229
5-96 Total,Temps partiel,Homme,1992Q4,342578
5-96 Total,Temps partiel,Homme,1993Q1,331177
5-96 Total,Temps partiel,Homme,1993Q2,346993
5-96 Total,Temps partiel,Homme,1993Q3,338823
5-96 Total,Temps partiel,Homme,1993Q4,337616
5-96 Total,Temps partiel,Homme,1994Q1,333091
5-96 Total,Temps partiel,Homme,1994Q2,339502
5-96 Total,Temps partiel,Homme,1994Q3,342761
5-96 Total,Temps partiel,Homme,1994Q4,340905
5-96 Total,Temps partiel,Homme,1995Q1,344669
5-96 Total,Temps partiel,Homme,1995Q2,343400
5-96 Total,Temps partiel,Homme,1995Q3,338850
5-96 Total,Temps partiel,Homme,1995Q4,338244
5-96 Total,Temps partiel,Homme,1996Q1,343025
5-96 Total,Temps partiel,Homme,1996Q2,347564
5-96 Total,Temps partiel,Homme,1996Q3,353553
5-96 Total,Temps partiel,Homme,1996Q4,344565
5-96 Total,Temps partiel,Homme,1997Q1,345128
5-96 Total,Temps partiel,Homme,1997Q2,345324
5-96 Total,Temps partiel,Homme,1997Q3,354310
5-96 Total,Temps partiel,Homme,1997Q4,355893
5-96 Total,Temps partiel,Homme,1998Q1,357321
5-96 Total,Temps partiel,Homme,1998Q2,369903
5-96 Total,Temps partiel,Homme,1998Q3,366609
5-96 Total,Temps partiel,Homme,1998Q4,372213
5-96 Total,Temps partiel,Homme,1999Q1,376908
5-96 Total,Temps partiel,Homme,1999Q2,384252
5-96 Total,Temps partiel,Homme,1999Q3,388367
5-96 Total,Temps partiel,Homme,1999Q4,396859
5-96 Total,Temps partiel,Homme,2000Q1,404256
5-96 Total,Temps partiel,Homme,2000Q2,407913
5-96 Total,Temps partiel,Homme,2000Q3,400839
5-96 Total,Temps partiel,Homme,2000Q4,406393
5-96 Total,Temps partiel,Homme,2001Q1,404056
5-96 Total,Temps partiel,Homme,2001Q2,404132
5-96 Total,Temps partiel,Homme,2001Q3,407662
5-96 Total,Temps partiel,Homme,2001Q4,408881
5-96 Total,Temps partiel,Homme,2002Q1,410562
5-96 Total,Temps partiel,Homme,2002Q2,410216
5-96 Total,Temps partiel,Homme,2002Q3,414708
5-96 Total,Temps partiel,Homme,2002Q4,410151
5-96 Total,Temps partiel,Homme,2003Q1,411423
5-96 Total,Temps partiel,Homme,2003Q2,416182
5-96 Total,Temps partiel,Homme,2003Q3,417594
5-96 Total,Temps partiel,Homme,2003Q4,420205
5-96 Total,Temps partiel,Homme,2004Q1,415288
5-96 Total,Temps partiel,Homme,2004Q2,423185
5-96 Total,Temps partiel,Homme,2004Q3,425701
5-96 Total,Temps partiel,Homme,2004Q4,429571
5-96 Total,Temps partiel,Homme,2005Q1,426787
5-96 Total,Temps partiel,Femme,1991Q3,835745
5-96 Total,Temps partiel,Femme,1991Q4,838672
5-96 Total,Temps partiel,Femme,1992Q1,840048
5-96 Total,Temps partiel,Femme,1992Q2,840092
5-96 Total,Temps partiel,Femme,1992Q3,830262
5-96 Total,Temps partiel,Femme,1992Q4,806649
5-96 Total,Temps partiel,Femme,1993Q1,807806
5-96 Total,Temps partiel,Femme,1993Q2,816204
5-96 Total,Temps partiel,Femme,1993Q3,810806
5-96 Total,Temps partiel,Femme,1993Q4,811796
5-96 Total,Temps partiel,Femme,1994Q1,804439
5-96 Total,Temps partiel,Femme,1994Q2,800709
5-96 Total,Temps partiel,Femme,1994Q3,816693
5-96 Total,Temps partiel,Femme,1994Q4,815800
5-96 Total,Temps partiel,Femme,1995Q1,827556
5-96 Total,Temps partiel,Femme,1995Q2,828827
5-96 Total,Temps partiel,Femme,1995Q3,825549
5-96 Total,Temps partiel,Femme,1995Q4,828835
5-96 Total,Temps partiel,Femme,1996Q1,823555
5-96 Total,Temps partiel,Femme,1996Q2,840025
5-96 Total,Temps partiel,Femme,1996Q3,827603
5-96 Total,Temps partiel,Femme,1996Q4,839946
5-96 Total,Temps partiel,Femme,1997Q1,839614
5-96 Total,Temps partiel,Femme,1997Q2,845608
5-96 Total,Temps partiel,Femme,1997Q3,850584
5-96 Total,Temps partiel,Femme,1997Q4,852960
5-96 Total,Temps partiel,Femme,1998Q1,861794
