structure,type,seas_adj,date,value
gdp,nom,csa,2008-07-01,157221.642603003
gdp,nom,csa,2008-10-01,154089.358555394
gdp,nom,csa,2009-01-01,151738.607736578
gdp,nom,csa,2009-04-01,152236.360024135
gdp,nom,csa,2009-07-01,153912.142747589
gdp,nom,csa,2009-10-01,155112.381854675
gdp,nom,csa,2010-01-01,157047.362465162
gdp,nom,csa,2010-04-01,158560.475186817
gdp,nom,csa,2010-07-01,159300.675827921
gdp,nom,csa,2010-10-01,160721.894409158
gdp,nom,csa,2011-01-01,161138.651009549
gdp,nom,csa,2011-04-01,162011.351022999
gdp,nom,csa,2011-07-01,161029.929997144
gdp,nom,csa,2011-10-01,161491.749786833
gdp,nom,csa,2012-01-01,162612.368360574
gdp,nom,csa,2012-04-01,163006.09162782
gdp,nom,csa,2012-07-01,164514.460772271
gdp,nom,csa,2012-10-01,164609.17727339
gdp,nom,csa,2013-01-01,165115.823921882
gdp,nom,csa,2013-04-01,166392.630513985
gdp,nom,csa,2013-07-01,167377.750868502
gdp,nom,csa,2013-10-01,167753.679138023
gdp,nom,csa,2014-01-01,168631.646758509
gdp,nom,csa,2014-04-01,169917.757457462
gdp,nom,csa,2014-07-01,170186.724081921
gdp,nom,csa,2014-10-01,170282.729043862
gdp,nom,csa,2015-01-01,169589.24049041
gdp,nom,csa,2015-04-01,169250.581472658
gdp,nom,csa,2015-07-01,169881.475563292
gdp,nom,csa,2015-10-01,170574.856612608
gdp,nom,csa,2016-01-01,171200.492166898
gdp,nom,csa,2016-04-01,172201.337417503
gdp,nom,csa,2016-07-01,172811.498093231
gdp,nom,csa,2016-10-01,172130.685133293
gdp,nom,csa,2017-01-01,171724.48822995
gdp,nom,csa,2017-04-01,172809.562067579
gdp,nom,csa,2017-07-01,174577.832496193
gdp,nom,csa,2017-10-01,176953.26647534
gdp,nom,csa,2018-01-01,178887.250112846
gdp,nom,csa,2018-04-01,182234.417790806
gdp,nom,csa,2018-07-01,181737.197168559
gdp,nom,csa,2018-10-01,181992.891195688
