quarter,beta_y,psi_lop,phi,sigma_cpi,sigma_spf,xi_n,natural_rate,fitted_obs,fitted_spf_survey
2010 Q1,0.0010103205835064427,-0.16163567114694458,0.3055911635200928,1.1548360214818791,1.9141496312294595,7.157323507062704e-4,1.0033823840647342,1.1017423098396681,NA
2010 Q2,0.10748320743779963,-0.06855751622337615,0.3532524236088065,1.1856751461016717,0.30817160627842444,5.386631844627713e-4,1.022974753901717,1.3416496084833203,NA
2010 Q3,0.11625497401343103,-0.04258090336130322,0.4243086785646305,1.2262668626964903,0.27289229613028837,0.0012685214161994433,0.9562776394366934,0.6649975494360196,NA
2010 Q4,0.05253033946681067,-0.09289596480624482,0.35782882798207416,1.1943406578766678,0.13329363599438307,7.289850748958203e-4,0.992534694617463,0.6361439463455306,NA
2011 Q1,0.0010069340849552155,-0.15735111374836028,0.3227899114816445,1.12770081897229,0.07489303225343824,9.642735470217494e-4,0.9646083142284289,0.9397098533956287,NA
2011 Q2,0.060154687915467596,-0.09064446654285573,0.3199368890706096,1.1864377656639271,0.5131949307494396,4.898973271411016e-4,0.9596080059189321,1.3221874397532238,NA
2011 Q3,0.11277579641253137,-0.0571907985597672,0.3786384500355906,1.2459199146113424,0.09855785570910462,0.0658647318396975,0.7910186500603511,0.38265630708726583,NA
2011 Q4,0.1870074167369093,-0.02730632784039438,0.4021570328778751,1.2077776528184214,0.29701061096157094,0.15599052452559034,0.40131633442604814,-0.500827767880283,NA
2012 Q1,0.0010204228255099915,-0.14562619303586147,0.3796848384396545,1.1630142854679226,1.2801415074438856,9.091562167908659e-4,0.8168956001167329,-0.268412663348205,NA
2012 Q2,0.0010131178874018209,-0.18395468504371482,0.2999855687530437,1.1052403810501736,0.08493201898927001,0.07395016272588376,0.6864714368307363,-0.20041185372924863,NA
2012 Q3,0.001018569784118603,-0.15510142720325762,0.37548010192176606,1.1156281116527427,0.08265511144712383,0.0033924622149138347,0.772421407465152,0.0768613918796901,NA
2012 Q4,0.0010236177285366905,-0.1701323411511116,0.35600251665869154,1.0873457612317798,0.5031597506423664,0.07828563191503364,0.604176009661969,0.0315522438555777,NA
2013 Q1,0.0010124536872782918,-0.1748605575856301,0.3521210605924888,1.0682989500012932,0.11789941462241957,0.08539430083768991,0.5737965283746622,-0.16062889557054483,NA
2013 Q2,0.001061600980420548,-0.1831031291970972,0.3527767772132684,1.0441447649719595,3.4665446117783745,0.13118751717373558,0.3105802580110718,-0.27941759257790927,NA
2013 Q3,0.0010078327749348257,-0.17876162827552958,0.3436292732772581,1.0596387548870234,0.306363498424492,0.08945797878548005,0.5432945672206687,-0.19016283144430418,NA
